GeneSymbol,GeneID,Average_Zscore,HGNC Symbol
C9ORF21,195827,1.1718204929415232,PRXL2C
C9ORF78,51759,1.3852858027045605,C9orf78
C9ORF83,51510,1.4425679458968057,CHMP5
C9ORF99,84263,1.1530474249322233,HSDL2
CABLES1,91768,2.730455861587192,CABLES1
CABYR,26256,1.1765435414408034,CABYR
CACNA1S,779,1.2618351726182302,CACNA1S
CACNG2,10369,1.3016210780328457,CACNG2
CALN1,83698,1.5710077201852954,CALN1
CAMK4,814,1.4813293150506432,CAMK4
CAPN2,824,1.143643433307623,CAPN2
CARD14,79092,1.6294529206467396,CARD14
CARM1,10498,1.52905230465807,CARM1
CASC1,55259,2.185452115409391,DNAI7
CCDC5,115106,2.024863025653862,HAUS1
CCL16,6360,1.2539319040576675,CCL16
CCR2,1231,1.495977128495207,CCR2
CD1A,909,1.2306828488430144,CD1A
CD200R,131450,1.1213683498223888,CD200R1
CD24,934,1.1798558679502542,CD24
CD274,29126,1.2429519467430883,CD274
CD2AP,23607,1.160544821310174,CD2AP
CD3G,917,1.5326463960184982,CD3G
CD81,975,1.2883145169886987,CD81
CDC37,11140,1.143622870859568,CDC37
CDCA7,83879,1.4656825844552155,CDCA7
CDH13,1012,1.1740179805175828,CDH13
CDH24,64403,1.1532174901039656,CDH24
CDW92,23446,1.7430591189165967,SLC44A1
CEIRF9B,1059,2.846879685076635,CENPB
CEIRF9F,1063,1.2167945277101988,CENPF
CETN2,1069,1.1457152869492058,CETN2
CFH,3075,1.3233597435504993,CFH
CGI-14,51005,1.0988252649992432,AMDHD2
CGI-48,51096,1.6208963300082666,UTP18
CHAF1A,10036,1.585654766036407,CHAF1A
CHCHD7,79145,1.24261505201454,CHCHD7
CHES1,1112,1.3585357061563508,FOXN3
CHKA,1119,1.4184235444202415,CHKA
CHRM1,1128,1.1844045295201013,CHRM1
CHRNB2,1141,1.3929318504993191,CHRNB2
CIAS1,114548,1.2655781662669054,NLRP3
CIDEB,27141,1.2819134272143904,CIDEB
CKLFSF2,146225,1.210443874293482,CMTM2
CKLFSF5,116173,1.4695340376847057,CMTM5
CLDN17,26285,1.2071473376365356,CLDN17
CLDN5,7122,1.431670055247674,CLDN5
CLECSF1,10143,1.2470151159527119,CLEC3A
CMYA5,202333,2.1398704026428526,CMYA5
CNKSR3,154043,1.8363076785728514,CNKSR3
CNOT7,29883,1.6627616298788157,CNOT7
COCH,1690,1.5710712452313416,COCH
COG2,22796,1.424323573431018,COG2
COG8,84342,1.1351256042230615,COG8
COL15A1,1306,2.0801144245593974,COL15A1
COLEC11,78989,1.2333781790207659,COLEC11
CORO1A,11151,1.2385832658836415,CORO1A
COX6B2,125965,1.7522184013924287,COX6B2
COX8C,341947,1.3851776443689863,COX8C
CP,1356,1.1895535093955558,CP
CPEB2,132864,1.1200668706185466,CPEB2
CPSF1,29894,1.638123401877789,CPSF1
CRR9,81037,2.1879947186835973,CLPTM1L
CRTAC1,55118,1.2904702431852209,CRTAC1
CS,1431,1.6369588738614769,CS
CSNK1A1,1452,1.281350387688773,CSNK1A1
CSTF2T,23283,1.8404387728603657,CSTF2T
CTAGE4,100128553,2.2577688410882217,CTAGE4
CTGLF4,653268,1.2603854398095924,AGAP7P
CTSH,1512,1.5694289157361143,CTSH
CTSL,1514,1.335336416377746,CTSL
CUEDC1,404093,1.132934622728805,CUEDC1
CUL3,8452,2.0081455909704307,CUL3
CX3CR1,1524,1.886168854517977,CX3CR1
CXORF6,10046,1.4394700578906487,MAMLD1
CYFIP2,26999,1.1231723020957993,CYFIP2
CYP19A1,1588,1.2468883119125633,CYP19A1
CYP2A6,1548,1.1158931467714468,CYP2A6
CYP2E1,1571,1.17044712860208,CYP2E1
CYP39A1,51302,1.6194863639290253,CYP39A1
CYP4V2,285440,1.4801311928459533,CYP4V2
CYP7B1,9420,1.5163458218164545,CYP7B1
DC13,56942,1.247475445749531,CMC2
DCBLD2,131566,1.3269946677103142,DCBLD2
DCC,1630,1.114698628994456,DCC
DDR1,780,1.587472034339691,DDR1
DDX52,11056,1.7837667044399317,DDX52
DEDD2,162989,1.1404313224689548,DEDD2
DEFA5,1670,1.2274378666697319,DEFA5
DEFB105,245908,1.2166728356393965,DEFB105A
DEFB113,245927,1.8864495570914994,DEFB113
DEFB128,245939,2.2673357038608373,DEFB128
DEPDC5,9681,1.1741396650871845,DEPDC5
DERPC,54921,1.3219877701582998,CHTF8
DES,1674,1.1393670752514184,DES
DGAT1,8694,1.3734340116261758,DGAT1
DJ383J4.3,91687,1.7229873032736993,CENPL
DKFZP434C131,25989,1.920299186923804,ULK3
DKFZP434G1415,83448,1.559349347820367,PUS7L
DKFZP434I092,26166,1.3926352398335091,RGS22
DKFZP547D2210,196500,2.012026223935502,PIANP
DKFZP564M082,25906,1.635136841972965,ANAPC15
DKFZP761D0211,83986,1.1969496851925863,FAM234A
DKFZP761P211,375057,1.1656407931675599,STUM
DKFZP762C1112,169200,1.1762855583016028,TMEM64
DKFZP762K222,56977,1.2699133613440532,STOX2
DLP,54957,1.510638730962906,TXNL4B
DMRT2,10655,1.2320847793785328,DMRT2
DMWD,1762,1.391118486000126,DMWD
DNAJB11,51726,1.4270808072922734,DNAJB11
DNALI1,7802,1.1716694700536887,DNALI1
DOCK4,9732,2.4880379434204674,DOCK4
DSC3,1825,1.1417104294543652,DSC3
DSCR10,259234,1.1368718139782188,DSCR10
DSCR3,10311,1.203850052122632,VPS26C
DSCR4,10281,1.4250077092471083,DSCR4
DSPP,1834,1.298716474106344,DSPP
DUSP1,1843,1.4751814359195323,DUSP1
DYRK1A,1859,1.9661789751324936,DYRK1A
DYSF,8291,1.2397534564788943,DYSF
DYSFIP1,116729,1.5927634031207696,PPP1R27
E2IG4,25987,1.190369124743746,TSKU
EBF2,64641,1.1371779962795392,EBF2
ECEL1,9427,1.143940265502828,ECEL1
ECH1,1891,1.15929128438685,ECH1
ECHDC1,55862,1.111593791815232,ECHDC1
EFHD2,79180,1.6742154202730555,EFHD2
EFS,10278,1.3405083383620617,EFS
EID3,493861,1.2786613847650419,EID3
EIF4EBP3,8637,1.8142525210772216,EIF4EBP3
ELAVL2,1993,1.1037848553717773,ELAVL2
ELF1,1997,1.577190533548284,ELF1
ELKS,23085,1.4764303132587466,ERC1
ELL2,22936,1.2309968118648962,ELL2
ELOVL1,64834,1.2987645570498347,ELOVL1
ELOVL6,79071,1.696451958094027,ELOVL6
EMP2,2013,1.4299708561326667,EMP2
ENDOG,2021,1.4540575536168394,ENDOG
EOMES,8320,1.258670289172509,EOMES
EPC1,80314,1.5343619593511408,EPC1
EPC2,26122,1.3915193705575932,EPC2
EPHA6,285220,1.4468870437486216,EPHA6
EPS8,2059,1.2899678985621756,EPS8
ERCC1,2067,1.5358680049010123,ERCC1
ERN2,10595,2.4824261957024296,ERN2
FABP6,2172,1.6033113674340482,FABP6
FAM31B,163486,1.4477228315218915,DENND1B
FAM33A,348235,1.4286880462706244,SKA2
FAM3C,10447,1.1438786753699632,FAM3C
FAM64A,54478,1.1449800002109218,PIMREG
FAT,2195,1.1401260325059426,FAT1
FBLN5,10516,1.3058120357806633,FBLN5
FBXO3,26273,1.1990663271655349,FBXO3
FER1L3,26509,1.1945244980012382,MYOF
FGL1,2267,1.5740586562446905,FGL1
FKBP14,55033,1.5342038407735865,FKBP14
FKSG24,84769,1.1593200326656317,MPV17L2
FKSG44,83786,1.1813514559883656,FRMD8
FLG,2312,1.4953179610371898,FLG
FLJ00012,89849,1.1994840168457386,ATG16L2
FLJ10006,55677,1.1715345282732574,IWS1
FLJ10199,55092,1.1386769563943933,TMEM51
FLJ10315,55116,1.1362068228739748,TMEM39B
FLJ10408,55138,1.1340828312291542,FAM90A1
FLJ10560,55171,1.4576485945658841,TBCCD1
FLJ10569,55174,1.6146551579428903,INTS10
FLJ10637,55726,1.4363593484236041,INTS13
FLJ10719,55215,1.4023239274817618,FANCI
FLJ10853,55246,1.2612549336107208,CCDC25
FLJ10945,55267,1.1742793694840208,PRR34
FLJ10979,55275,1.1039458202899224,VPS53
FLJ11046,55773,1.30662648335808,TBC1D23
FLJ11175,55784,1.684948522585687,MCTP2
FLJ11336,55346,1.1903550429646703,TCP11L1
FLJ11506,79719,1.6449029387990537,AAGAB
FLJ12604,79674,1.1419345250051172,VEPH1
FLJ12847,79648,2.034247314289392,MCPH1
FLJ13621,9662,1.4875094763773382,CEP135
FLJ13946,92104,1.5874566851092045,IFT70A
FLJ14146,79762,1.2084364575103308,C1orf115
FLJ14397,84865,1.4070097636079462,CCDC142
FLJ14490,84879,1.2699770150082794,MFSD2A
FLJ20130,54830,1.1003853915511255,NUP62CL
FLJ20200,54854,1.3268737918454496,FAM83E
FLJ20277,55624,1.5781280899592542,POMGNT1
FLJ20308,54890,1.626623794184986,ALKBH5
FLJ20331,55631,1.1807019689423515,LRRC40
FLJ20399,54920,1.7551685636612735,DUS2
FLJ20643,55011,1.5623286921576862,PIH1D1
FLJ21901,79675,1.4809382822447577,FASTKD1
FLJ22390,64757,1.3297872296983937,MTARC1
FLJ22494,79873,1.7204110786892648,NUDT18
FLJ22578,79922,1.4784955692547888,MRM1
FLJ22624,79866,1.7130668468759245,BORA
FLJ22655,79785,1.137422376356832,RERGL
FLJ22662,79887,1.2995090901681912,PLBD1
FLJ22671,79919,1.709281163726696,MAB21L4
FLJ23263,80185,1.8878922368336621,TTI2
FLJ23451,79823,1.4335646675782339,CAMKMT
FLJ25076,134111,1.4892646091711201,UBE2QL1
FLJ25102,348738,1.6697922585020846,RRM2
FLJ25286,153443,1.724642480142264,SRFBP1
FLJ25393,159989,1.6069794009934175,DEUP1
FLJ25422,202151,1.2591718574456854,RANBP3L
FLJ25791,222521,1.3792724651594592,AK9
FLJ30213,219539,1.8012914984937773,YPEL4
FLJ30990,150737,1.5526430460692853,IFT70B
FLJ31340,222223,1.2112360448663768,ELAPOR2
FLJ31579,257068,1.3084827615286678,PLCXD2
FLJ32332,132160,1.236578083317432,PPM1M
FLJ32675,283254,1.2072193946030754,HARBI1
FLJ32771,220004,2.0552265640592866,SAXO4
FLJ32859,152405,2.0125057416707426,TEX55
FLJ32880,254187,1.2005643941426856,TSGA10IP
FLJ32954,151393,1.432615252627734,RMDN2
FLJ33008,145748,1.5533333081495522,LYSMD4
FLJ33718,285489,1.356708279501322,DOK7
FLJ33790,283212,1.134700356981594,KLHL35
FLJ34922,91607,1.225621073406538,SLFN11
FLJ34960,257240,1.2446356722694651,KLHL34
FLJ35630,166379,1.4194508012561307,BBS12
FLJ35696,388341,1.5344749807983593,LRRC75A
FLJ35880,256076,1.2900567760580508,COL6A5
FLJ36090,153241,1.1284124855731417,CEP120
FLJ36268,401563,1.4543085918558107,LINC02908
FLJ37078,222183,1.2765799922688674,SRRM3
FLJ37794,283284,1.4013315204733603,IGSF22
FLJ37927,166979,1.3324466107680109,CDC20B
FLJ38190,123591,1.6915999145968112,TMEM266
FLJ38377,205147,1.1366014830391868,AMER3
FLJ38753,127707,2.2389047863287725,KLHDC7A
FLJ43505,400823,1.502112755196804,FAM177B
FLJ44216,375484,1.499881513726799,SIMC1
FLJ44290,375347,1.8132443984111677,DNAH12
FLJ44968,374887,1.451950833576657,YJEFN3
FLJ45909,126432,1.661204937498049,RINL
FLJ45910,388512,1.2571006726025686,CLEC17A
FLJ46266,399949,1.5079031010985544,HOATZ
FMN2,56776,1.2435416287359295,FMN2
FMR1,2332,1.1882608336712877,FMR1
FNDC5,252995,1.1391367681835238,FNDC5
FOXD3,27022,1.508164395955062,FOXD3
FOXD4L1,200350,1.695590826086228,FOXD4L1
FOXK1,221937,1.9202345464315786,FOXK1
FUT3,2525,1.1938648072681706,FUT3
FXYD4,53828,1.3542276776067017,FXYD4
GABPB2,2553,1.1649170186703066,GABPB1
GABRA4,2557,2.3532972870107107,GABRA4
GADD45GIP1,90480,1.8784325210238602,GADD45GIP1
GAF1,26056,1.1686316783975603,RAB11FIP5
GAGE8,100101629,1.2851256045416597,GAGE8
GALNT14,79623,1.3087115702460492,GALNT14
GANC,2595,1.0973570185597343,GANC
GBP4,115361,1.3351243468437994,GBP4
GCKR,2646,1.8511987369934269,GCKR
GCL,64395,1.2508286257168661,GMCL1
GCS1,7841,1.2219324995370426,MOGS
GEMIN7,79760,1.4228423625458726,GEMIN7
GGT1,2678,1.1417831526689142,GGT1
GJA10,81025,1.2037588107251174,GJA9
GJA4,2701,1.141319396502837,GJA4
GJB3,2707,1.2505777994400626,GJB3
GLI,2735,1.490515577149608,GLI1
GLRA1,2741,1.2110991906450672,GLRA1
GMEB2,26205,1.1671636926008122,GMEB2
GNAI2,2771,1.7252122469493951,GNAI2
GNB2,2783,1.463199062487949,GNB2
GNG4,2786,2.74293888078685,GNG4
GOT1,2805,1.3802326615972795,GOT1
GPATC2,55105,2.3714676294817245,GPATCH2
GPNMB,10457,1.4839813241801423,GPNMB
GPR158,57512,1.3808228045548632,GPR158
GPR18,2841,1.2001195981908677,GPR18
GPR39,2863,1.3964579057054731,GPR39
GPR44,11251,1.1311849638045808,PTGDR2
GRCC10,113246,1.2124776907611468,C12orf57
GRLF1,2909,1.1473813717433188,ARHGAP35
GSDM,284110,1.1145164509516978,GSDMA
GSTZ1,2954,1.2016023396719122,GSTZ1
GTF2A2,2958,1.6185436705288023,GTF2A2
GYLTL1B,120071,1.1400061355521205,LARGE2
GZMK,3003,1.5180112719063574,GZMK
H2-ALPHA,113457,1.1078205015463543,TUBA3D
H63,113201,1.58866066405412,GOLM2
HAND1,9421,1.311004823986306,HAND1
HBP17,9982,1.9169064206698816,FGFBP1
HCMOGT-1,92521,1.3390396812907888,SPECC1
HDAC11,79885,1.4976277086151406,HDAC11
HECTD2,143279,1.1476687794751022,HECTD2
HERC5,51191,1.2126371023321272,HERC5
HES2,54626,1.2159371448025633,HES2
HES3,390992,1.2116370968586512,HES3
HIC2,23119,1.938521587906338,HIC2
HIP-55,28988,1.4764586397955828,DBNL
HIST1H2BA,255626,1.134092406781452,H2BC1
HIST1H2BB,3018,1.5664573811440565,H2BC3
HIST1H3C,8352,1.82568440023956,H3C3
HLA-DOA,3111,1.1098468841543898,HLA-DOA
HLA-DRB1,3123,1.2503045959800398,HLA-DRB1
HMCN1,83872,1.3631379591485122,HMCN1
HNLF,222068,1.1082319878608966,TMED4
HNRPH1,3187,1.5367059983712514,HNRNPH1
HNRPR,10236,1.3885760674955394,HNRNPR
HNT,50863,1.2300705717987732,NTM
HOXD13,3239,1.2464597198059937,HOXD13
HP,3240,1.4749452744489817,HP
HPCA,3208,1.3642683609681971,HPCA
HRASLS3,11145,1.109943207225373,PLAAT3
HRG,3273,1.3039944222556388,HRG
HSF1,3297,1.1345740595377176,HSF1
HSF2,3298,1.3987182231803075,HSF2
HSPB6,126393,1.104108669058938,HSPB6
HSPC065,29070,1.2821376000573448,CFAP263
HSPC152,51504,1.4278543348127863,TRMT112
HSPCA,3320,1.4474815190595218,HSP90AA1
HSPH1,10808,1.6058034505067758,HSPH1
HSU24186,29935,1.2820725714892525,RPA4
HT007,55863,1.3093660014510942,TMEM126B
HTR7,3363,1.1899242286895508,HTR7
HUMAGCGB,29890,1.258605817673047,RBM15B
HUMPPA,30850,1.2629475186080963,CDR2L
ICAM4,3386,1.203952756003616,ICAM4
IFI27,3429,1.3101156950561523,IFI27
IFNA14,3448,1.7687340414912216,IFNA14
IGFBP7,3490,1.7314934050882056,IGFBP7
IGSF3,3321,1.6733408448064961,IGSF3
IL11,3589,2.3444976721230764,IL11
IL16,3603,1.2606941017711124,IL16
IL17B,27190,1.8355727084603153,IL17B
IL17F,112744,1.6231312684798374,IL17F
IL17RC,84818,2.2520711303622982,IL17RC
IL4I1,259307,1.1283651275207867,IL4I1
ILDR1,286676,1.6400444013804056,ILDR1
INCEIRF9,3619,1.6864956741848682,INCENP
ING1L,3622,1.3157526418688321,ING2
ING3,54556,1.2081846637900504,ING3
IPMK,253430,1.1611445265207252,IPMK
IPO11,51194,1.7688831438861388,IPO11
IRF2BP2,359948,1.5333114246457495,IRF2BP2
IRF9,4860,1.9142500572237964,PNP
IRF9AS3,64067,1.5646158806486667,NPAS3
IRF9C2,10577,1.5651793016576652,NPC2
IRF9D007,57414,1.1467000691001847,RHBDD2
IRF9IP,9284,1.521806283021377,NPIPA1
IRF9PA,4878,1.739956832509134,NPPA
ITCH,83737,1.2175067504897048,ITCH
ITGA11,22801,1.4544213384482114,ITGA11
ITGAD,3681,1.2459805400248278,ITGAD
ITGB1BP1,9270,1.1444421693006235,ITGB1BP1
ITM2C,81618,1.1768124223481617,ITM2C
JARID1B,10765,1.8282072830922949,KDM5B
JIK,51347,1.2554931138408314,TAOK3
JMJD2A,9682,1.2045698741464754,KDM4A
KCTD20,222658,1.9610099853819807,KCTD20
KIAA0082,23070,1.1134314757748933,CMTR1
KIAA0152,9761,1.199409863743912,MLEC
KIAA0195,9772,1.1344755842870462,TMEM94
KIAA0317,9870,1.1294723558139292,AREL1
KIAA0323,23351,1.1057360140045223,KHNYN
KIAA0368,23392,1.3957209869190457,ECPAS
KIAA0415,9907,1.735427086311372,AP5Z1
KIAA0427,9811,1.8483066353434383,CTIF
KIAA0467,23334,1.1587067095780827,SZT2
KIAA0528,9847,1.1642429060007222,C2CD5
KIAA0543,23145,1.3482049096679996,SSPOP
KIAA0582,23177,1.1585184268339193,CEP68
KIAA0672,9912,1.3444942099448889,ARHGAP44
KIAA0863,22850,1.2765128222238933,ADNP2
KIAA1117,23033,1.6445668027475264,DOP1A
KIAA1161,57462,1.2490712141461027,MYORG
KIAA1183,57469,1.493648439630342,PNMA8B
KIAA1194,57472,1.22294282768441,CNOT6
KIAA1199,57214,1.2800532422986663,CEMIP
KIAA1229,57489,1.1026996053691476,ODF2L
KIAA1324,57535,1.1257371853395166,ELAPOR1
KIAA1377,57562,1.333853374229764,CEP126
KIAA1414,54497,1.7586517111306232,HEATR5B
KIAA1728,85461,1.4662052777968773,TANC1
KIAA1754,85450,1.3897352302514143,ITPRIP
KIAA1764,85444,1.2002637668180611,LRRCC1
KIAA1787,84461,1.4798444700465554,NEURL4
KIAA2018,205717,1.4463047725129257,USF3
KIF15,56992,1.3176398060858152,KIF15
KIF9,64147,2.1426210061982487,KIF9
KLHDC3,116138,1.1474607490010156,KLHDC3
KLHL12,59349,1.1888340033634837,KLHL12
KLRG1,10219,1.1427612487786836,KLRG1
KMO,8564,1.8973367575950766,KMO
KNSL8,89953,2.004909457076133,KLC4
KRT13,3860,1.2246675897727701,KRT13
KRTAP12-2,353323,1.100187310089086,KRTAP12-2
KRTAP20-1,337975,1.6512482129598687,KRTAP20-1
KRTAP20-3,337985,1.9415831419084857,KRTAP20-3
KRTAP4-4,84616,1.1589748856113409,KRTAP4-4
KRTHB1,3887,1.1996140971890747,KRT81
KUA,387521,1.2784505848455345,PEDS1
L3MBTL4,91133,1.6120043877468722,L3MBTL4
LAD1,3898,1.124515504285609,LAD1
LALBA,3906,1.4461451949944328,LALBA
LAMC2,3918,1.6085692477933444,LAMC2
LASS5,91012,1.271357952131947,CERS5
LASS6,253782,1.434401998279453,CERS6
LCE2A,353139,1.2487536775370542,LCE2A
LCE2C,353140,1.2083034678303979,LCE2C
LCP2,3937,1.5272050252278397,LCP2
LDHAL6A,160287,1.2075624564176446,LDHAL6A
LECT1,11061,1.8221101015804924,CNMD
LEP17,353145,1.1417950293510777,LCE3E
LGALS13,29124,1.9014540647452156,LGALS13
LGALS3BP,3959,1.1271156599288819,LGALS3BP
LGALS4,3960,1.1309199307820703,LGALS4
LIAS,11019,1.652011083478048,LIAS
LIG4,3981,1.1447386514537392,LIG4
LIMS2,55679,1.1249687985436643,LIMS2
LIPG,9388,1.4346025976988694,LIPG
LMTK3,114783,1.4110017163643906,LMTK3
LOC100129550,100129550,1.270478204506143,LINC02035
LOC113174,113174,1.6553448088272376,SAAL1
LOC114926,114926,1.1125165000516097,SMIM19
LOC116238,116238,1.1088631661300692,TLCD1
LOC119710,119710,1.7277345811018816,IFTAP
LOC124245,124245,1.1371895125142668,ZC3H18
LOC130106,130106,1.3294322561999041,CIB4
LOC132321,132321,1.3466360195029758,C4orf33
LOC134492,134492,1.1041164138823962,NUDCD2
LOC144097,144097,1.7549060524094866,SPINDOC
LOC150379,150379,1.1753510680853645,PNPLA5
LOC152138,152138,1.3755931253520959,PYDC2
LOC153364,153364,1.484724478947424,MBLAC2
LOC157657,157657,1.507017323673714,CFAP418
LOC158830,158830,1.5994722274054403,CXorf65
LOC162993,162993,1.6815275085323387,ZNF846
LOC196463,196463,1.2377742929446347,PLBD2
LOC221710,221710,1.154141600138023,SMIM13
LOC221711,221711,1.6091091539417723,SYCP2L
LOC255783,255783,1.3107249501101554,INAFM1
LOC256394,256394,1.4824776878018306,SERPINA11
LOC283677,283677,1.9360432093166207,REC114
LOC284013,284013,1.3081825339970723,VMO1
LOC284402,284402,1.8955021411011432,SCGB2B2
LOC285148,285148,1.2832709912140543,IAH1
LOC285193,285193,1.774194101917875,DUSP28
LOC286257,286257,1.172986758120553,PAXX
LOC338809,338809,1.1296113649448598,PLEKHG7
LOC339231,339231,1.7033205720724847,ARL16
LOC339448,339448,1.2595818786601982,C1orf174
LOC339745,339745,1.2492456997079175,SPOPL
LOC340267,340267,1.1909846829944581,COL28A1
LOC343071,343071,1.1506428783924654,PRAMEF10
LOC343521,343521,1.406033373766384,DYNLT4
