HGNC Symbol,GeneID,siRNA_Average_Zscore,protein_abundance_log2FC_24h,protein_abundance_log2FC_48h
CD3G,917,1.5326463960184982,,
CD81,975,1.2883145169886987,,
CDC20B,166979,1.3324466107680109,,
CDC37,11140,1.143622870859568,,
CDCA7,83879,1.4656825844552157,,
CDH13,1012,1.1740179805175828,,
CDH24,64403,1.1532174901039656,,
CDHR2,54825,1.3096224966546126,,
CDHR4,389118,1.9789615550413493,,
CDR2L,30850,1.2629475186080965,,
CEMIP,57214,1.2800532422986663,,
CEND1,51286,1.1838484059573005,,
CENPB,1059,2.846879685076635,,
CENPF,1063,1.2167945277101988,,
CENPL,91687,1.722987303273699,,
CENPQ,55166,1.2238457184599925,,
CEP112,201134,1.3333783820708311,,
CEP120,153241,1.1284124855731417,,
CEP126,57562,1.333853374229764,,
CEP135,9662,1.4875094763773382,,
CEP68,23177,1.1585184268339193,,
CERS5,91012,1.271357952131947,,
CERS6,253782,1.434401998279453,,
CETN2,1069,1.1457152869492058,,
CFAP263,29070,1.2821376000573448,,
CFAP36,112942,1.0962123169023912,,
CFAP410,755,1.472895080550356,,
CFAP418,157657,1.507017323673714,,
CFAP45,25790,1.1175736464027046,,
CFAP96,441054,1.6792791032694527,,
CFH,3075,1.3233597435504991,,
CHAF1A,10036,1.585654766036407,,
CHCHD7,79145,1.24261505201454,,
CHIT1,1118,,,-0.890968127
CHKA,1119,1.4184235444202415,,
CHMP5,51510,1.4425679458968057,,
CHRM1,1128,1.1844045295201011,,
CHRNB2,1141,1.3929318504993191,,
CHTF8,54921,1.3219877701582998,,
CIB4,130106,1.329432256199904,,
CIDEB,27141,1.2819134272143904,,
CIMIP4,339669,1.191308933009927,,
CLDN17,26285,1.2071473376365356,,
CLDN5,7122,1.431670055247674,,
CLDND1,56650,1.3098971349689208,,
CLEC12B,387837,1.5914898415992509,,
CLEC17A,388512,1.2571006726025686,,
CLEC3A,10143,1.247015115952712,,
CLPP,8192,,,0.902006536
CLPTM1L,81037,2.1879947186835973,,
CLTRN,57393,1.669179726754197,,
CMC2,56942,1.247475445749531,,
CMPK1,51727,1.3356822589112156,,
CMPK2,129607,,2.040383286,5.130396927
CMTM2,146225,1.210443874293482,,
CMTM5,116173,1.4695340376847057,,
CMTR1,23070,1.113431475774893,,
CMYA5,202333,2.139870402642853,,
CNKSR3,154043,1.8363076785728512,,
CNMD,11061,1.8221101015804924,,
CNOT6,57472,1.22294282768441,,
CNOT7,29883,1.6627616298788157,,
CNPY2,10330,1.1645439689720156,,
COCH,1690,1.5710712452313416,,
COG2,22796,1.424323573431018,,
COG8,84342,1.1351256042230615,,
COL15A1,1306,2.0801144245593974,,
COL28A1,340267,1.190984682994458,,
COL6A5,256076,1.2900567760580508,,
COLEC11,78989,1.233378179020766,,
COPS2,9318,,1.146746077,
CORO1A,11151,1.2385832658836415,,
COX6B2,125965,1.752218401392429,,
COX8C,341947,1.3851776443689865,,
CP,1356,1.1895535093955558,,
CPEB2,132864,1.1200668706185466,,
CPNE2,221184,,1.548069833,
CPSF1,29894,1.638123401877789,,
CRLS1,54675,1.6060305058855309,,
CRTAC1,55118,1.2904702431852209,,
CRTC3,64784,1.827056632008882,,
CS,1431,1.6369588738614769,,
CSDC2,27254,1.1724078784324437,,
CSNK1A1,1452,1.281350387688773,,
CSTF2T,23283,1.8404387728603655,,
CTAGE4,100128553,2.2577688410882217,,
CTIF,9811,1.8483066353434383,,
CTNNA1,1495,,,-0.997015091
CTSH,1512,1.5694289157361143,,
CTSL,1514,1.335336416377746,,
CUEDC1,404093,1.132934622728805,,
CUL3,8452,2.0081455909704307,,
CWC27,10283,1.148642201596401,,
CX3CR1,1524,1.886168854517977,,
CXorf65,158830,1.5994722274054405,,
CYB5D2,124936,1.2368708930499095,,
CYFIP2,26999,1.123172302095799,,
CYP19A1,1588,1.246888311912563,,
CYP2A6,1548,1.1158931467714468,,
CYP2E1,1571,1.17044712860208,,
CYP39A1,51302,1.6194863639290251,,
CYP4V2,285440,1.4801311928459533,,
CYP7B1,9420,1.5163458218164545,,
CYTH4,27128,,,-1.906844278
CYTL1,54360,1.2416783489312675,,
DBNL,28988,1.4764586397955828,,
DCAF6,55827,1.5031506468816185,,
DCBLD2,131566,1.3269946677103142,,
DCC,1630,1.114698628994456,,
DCP1A,55802,,,0.762547239
DDR1,780,1.587472034339691,,
DDX52,11056,1.7837667044399317,,
DEDD2,162989,1.1404313224689548,,
DEFA5,1670,1.227437866669732,,
DEFB105A,245908,1.2166728356393963,,
DEFB113,245927,1.8864495570914992,,
DEFB128,245939,2.2673357038608373,,
DENND1B,163486,1.4477228315218915,,
DEPDC5,9681,1.1741396650871845,,
DES,1674,1.1393670752514184,,
DEUP1,159989,1.6069794009934175,,
DGAT1,8694,1.3734340116261758,,
DGKZ,8525,,,-4.419137156
DGLUCY,80017,,-1.227909786,
DIP2B,57609,,,1.548780939
DMRT2,10655,1.2320847793785328,,
DMWD,1762,1.391118486000126,,
DNAH12,375347,1.8132443984111677,,
DNAI7,55259,2.185452115409391,,
DNAJB11,51726,1.4270808072922734,,
DNAL1,83544,1.3911025306098883,,
DNALI1,7802,1.1716694700536887,,
DOCK4,9732,2.4880379434204674,,
DOK7,285489,1.356708279501322,,
DOLK,22845,1.4851042828006564,,
DOP1A,23033,1.6445668027475264,,
DOP1B,9980,1.5083564903643891,,
DRC1,92749,1.3497183314630168,,
DRC7,84229,1.280626066441243,,
DSC3,1825,1.1417104294543652,,
DSCR10,259234,1.1368718139782188,,
DSCR4,10281,1.4250077092471083,,
DSPP,1834,1.298716474106344,,
DTX3L,151636,,,1.601030028
DUS2,54920,1.7551685636612735,,
DUSP1,1843,1.4751814359195323,,
DUSP28,285193,1.774194101917875,,
DYNLT4,343521,1.406033373766384,,
DYRK1A,1859,1.9661789751324936,,
DYSF,8291,1.2397534564788943,,
EBF2,64641,1.1371779962795392,,
ECEL1,9427,1.143940265502828,,
ECH1,1891,1.15929128438685,,
ECHDC1,55862,1.111593791815232,,
ECHDC3,79746,,-0.626369403,
ECPAS,23392,1.3957209869190457,,
EEIG2,284611,1.603562249966413,,
EFHD2,79180,1.6742154202730557,,
EFL1,79631,,,2.687528925
EFS,10278,1.3405083383620615,,
EID3,493861,1.278661384765042,,
EIF2AK2,5610,,,2.400045992
EIF4EBP3,8637,1.8142525210772216,,
EIF4G3,8672,,,-1.897606054
ELAPOR1,57535,1.1257371853395166,,
ELAPOR2,222223,1.2112360448663768,,
ELAVL2,1993,1.1037848553717773,,
ELF1,1997,1.577190533548284,,
ELL2,22936,1.2309968118648962,,
ELOVL1,64834,1.2987645570498347,,
ELOVL6,79071,1.696451958094027,,
EMC6,83460,1.664539540658745,,
EMP2,2013,1.4299708561326667,,
ENDOG,2021,1.4540575536168394,,
EOMES,8320,1.258670289172509,,
EPC1,80314,1.5343619593511408,,
EPC2,26122,1.3915193705575932,,
EPCAM,4072,1.314923740566733,,
EPHA6,285220,1.4468870437486216,,
EPS8,2059,1.2899678985621756,,
ERC1,23085,1.4764303132587466,,-1.952667675
ERCC1,2067,1.5358680049010125,,
ERLEC1,27248,1.4073143141861169,,
ERN2,10595,2.4824261957024296,,
EXPH5,23086,1.593275431775176,,
FABP6,2172,1.6033113674340482,,
FAM177B,400823,1.502112755196804,,
FAM234A,83986,1.1969496851925865,,
FAM3C,10447,1.1438786753699632,,
FAM83E,54854,1.3268737918454496,,
FAM90A1,55138,1.1340828312291542,,
FANCI,55215,1.4023239274817618,,
FASTKD1,79675,1.4809382822447577,,
FAT1,2195,1.1401260325059426,,
FBLN5,10516,1.3058120357806633,,
FBXO3,26273,1.1990663271655349,,
FCF1,51077,1.4864538377278254,,
FGFBP1,9982,1.9169064206698816,,
FGL1,2267,1.5740586562446903,,
FKBP14,55033,1.5342038407735863,,
FLG,2312,1.4953179610371898,,
FMN2,56776,1.2435416287359295,,
FMR1,2332,1.1882608336712877,,
FNDC5,252995,1.1391367681835238,,
FOXD3,27022,1.508164395955062,,
FOXD4L1,200350,1.695590826086228,,
FOXK1,221937,1.9202345464315784,,
FOXN3,1112,1.3585357061563508,,
FRMD8,83786,1.1813514559883656,,
FUT3,2525,1.1938648072681706,,
FXYD4,53828,1.3542276776067017,,
GABPB1,2553,1.1649170186703066,,
GABRA4,2557,2.3532972870107107,,
GADD45GIP1,90480,1.87843252102386,,
GAGE8,100101629,1.2851256045416597,,
GALNT14,79623,1.3087115702460492,,
GANC,2595,1.0973570185597343,,
GARIN2,161142,1.9076939422369783,,
GATD3,8209,1.1607193293847482,,
GBP1,2633,,,2.687539728
GBP2,2634,,,1.111666448
GBP4,115361,1.3351243468437994,,
GBP5,115362,,,3.175454832
GCKR,2646,1.8511987369934269,,
GEMIN7,79760,1.4228423625458726,,
GGACT,87769,1.5885492872736848,,
GGT1,2678,1.1417831526689142,,
GJA4,2701,1.141319396502837,,
GJA9,81025,1.2037588107251174,,
GJB3,2707,1.2505777994400626,,
GLI1,2735,1.490515577149608,,
GLRA1,2741,1.2110991906450672,,
GMCL1,64395,1.250828625716866,,
GMEB2,26205,1.1671636926008122,,
GMPR,2766,,,1.612729285
GNAI2,2771,1.7252122469493951,,
GNB2,2783,1.463199062487949,,
GNG4,2786,2.74293888078685,,
GNL3,26354,1.30279820019979,,
GOLM2,113201,1.58866066405412,,
GOT1,2805,1.3802326615972795,,
GPATCH2,55105,2.3714676294817245,,
GPNMB,10457,1.4839813241801425,,
GPR158,57512,1.3808228045548632,,
GPR18,2841,1.2001195981908677,,
GPR39,2863,1.3964579057054731,,
GRHL2,79977,1.2527130461159657,,
GSDMA,284110,1.1145164509516978,,
GSTZ1,2954,1.2016023396719122,,
GTF2A2,2958,1.6185436705288023,,
GTSF1L,149699,1.1189757893112795,,
GUCY2EP,390226,1.9581026910927664,,
GZMK,3003,1.5180112719063574,,
H2BC1,255626,1.134092406781452,,
H2BC3,3018,1.5664573811440563,,
H3C3,8352,1.82568440023956,,
HAND1,9421,1.311004823986306,,
HARBI1,283254,1.2072193946030754,,
HARS2,23438,,,1.502810985
HAUS1,115106,2.024863025653862,,
HDAC11,79885,1.4976277086151406,,
HEATR4,399671,1.1452771624158484,,
HEATR5B,54497,1.7586517111306232,,
HECTD2,143279,1.1476687794751022,,
HERC5,51191,1.2126371023321272,,
HES2,54626,1.215937144802563,,
HES3,390992,1.2116370968586512,,
HIC2,23119,1.938521587906338,,
HLA-B,3106,,,2.02347863
HLA-B,3106,,,1.008569822
HLA-DOA,3111,1.1098468841543898,,
HLA-DRB1,3123,1.2503045959800398,,0.960305283
HLA-DRB3,3125,,,1.243831368
HMCN1,83872,1.3631379591485122,,
HNRNPH1,3187,1.5367059983712514,,
HNRNPR,10236,1.3885760674955394,,
HOATZ,399949,1.5079031010985544,,
HOXD13,3239,1.2464597198059937,,
HP,3240,1.4749452744489815,,
HPCA,3208,1.3642683609681971,,
HRG,3273,1.3039944222556388,,
HSDL2,84263,1.1530474249322231,,
HSF1,3297,1.1345740595377176,,
HSF2,3298,1.3987182231803077,,
HSP90AA1,3320,1.4474815190595218,,
HSPB6,126393,1.104108669058938,,
HSPH1,10808,1.6058034505067758,,
HTR7,3363,1.1899242286895508,,
HYCC2,285172,1.588422356482335,,
IAH1,285148,1.2832709912140543,,
ICAM4,3386,1.203952756003616,,
IFI27,3429,1.3101156950561523,,
IFI44,10561,,,3.468329055
IFI44L,10964,1.5402395502502813,,2.64704648
IFIH1,64135,,2.003777245,4.555946029
IFIT1,3434,,3.970117068,6.283329563
IFIT2,3433,,3.884688719,6.643829723
IFIT3,3437,,3.494644087,5.69825699
IFIT5,24138,,,1.116969129
IFNA14,3448,1.7687340414912216,,
IFT70A,92104,1.5874566851092045,,
IFT70B,150737,1.5526430460692853,,
IFTAP,119710,1.7277345811018816,,
IGFBP7,3490,1.7314934050882056,,
IGSF22,283284,1.4013315204733603,,
IGSF3,3321,1.673340844806496,,
IL11,3589,2.3444976721230764,,
IL16,3603,1.2606941017711124,,
IL17B,27190,1.8355727084603153,,
IL17F,112744,1.6231312684798374,,
IL17RC,84818,2.2520711303622982,,
IL4I1,259307,1.1283651275207869,,
ILDR1,286676,1.6400444013804056,,
INAFM1,255783,1.3107249501101554,,
INCENP,3619,1.6864956741848682,,
ING2,3622,1.315752641868832,,
ING3,54556,1.2081846637900504,,
INTS10,55174,1.6146551579428905,,
INTS13,55726,1.436359348423604,,
IPMK,253430,1.1611445265207252,,
IPO11,51194,1.7688831438861388,,
IREB2,3658,,,-1.855734379
IRF2BP2,359948,1.5333114246457495,,
ISG15,9636,,,5.740499175
ITCH,83737,1.2175067504897048,,
ITGA11,22801,1.4544213384482114,,
ITGAD,3681,1.2459805400248278,,
ITGB1BP1,9270,1.1444421693006237,,
ITM2C,81618,1.1768124223481615,,
ITPRIP,85450,1.3897352302514143,,
IWS1,55677,1.1715345282732574,,
KBTBD8,84541,1.8097271456484796,,
KCTD20,222658,1.961009985381981,,
KDM4A,9682,1.2045698741464754,,
KDM5B,10765,1.8282072830922949,,
KHNYN,23351,1.1057360140045225,,
KIF15,56992,1.3176398060858152,,
KIF9,64147,2.1426210061982487,,
KLC4,89953,2.004909457076133,,
KLHDC3,116138,1.1474607490010156,,
KLHDC7A,127707,2.2389047863287725,,
KLHL12,59349,1.1888340033634837,,
KLHL23,151230,1.751874371421399,,
KLHL34,257240,1.2446356722694651,,
KLHL35,283212,1.134700356981594,,
KLRG1,10219,1.1427612487786836,,
KMO,8564,1.8973367575950768,,
KRT13,3860,1.22466758977277,,
KRT81,3887,1.1996140971890747,,
KRTAP12-2,353323,1.100187310089086,,
KRTAP20-1,337975,1.651248212959869,,
KRTAP20-3,337985,1.9415831419084857,,
KRTAP4-4,84616,1.1589748856113409,,
L3MBTL4,91133,1.6120043877468722,,
LAD1,3898,1.124515504285609,,
LALBA,3906,1.4461451949944328,,
LAMC2,3918,1.6085692477933444,,
LAMTOR4,389541,1.3963675808487754,,
LARGE2,120071,1.1400061355521205,,
LCE2A,353139,1.2487536775370542,,
LCE2C,353140,1.208303467830398,,
LCE3E,353145,1.1417950293510777,,
LCP2,3937,1.5272050252278395,,
LDAF1,57146,1.5569269248552553,,
LDHAL6A,160287,1.2075624564176446,,
LGALS13,29124,1.9014540647452156,,
LGALS3BP,3959,1.127115659928882,,
LGALS4,3960,1.1309199307820703,,
LGMN,5641,,,1.031465532
LIAS,11019,1.652011083478048,,
LIG4,3981,1.1447386514537392,,
LIMS2,55679,1.1249687985436645,,
LINC00696,100128378,1.5204839127238292,,
LINC02035,100129550,1.270478204506143,,
LINC02908,401563,1.4543085918558107,,
LINS1,55180,1.358405880633945,,
LIPG,9388,1.4346025976988694,,
LMTK3,114783,1.4110017163643906,,
LPL,4023,,,-2.614530164
LRIF1,55791,1.603528092859367,,
LRP1,4035,1.35687465547245,,-1.81193024
LRRC14,9684,1.6145787848029174,,
LRRC15,131578,1.4464092716843415,,
LRRC26,389816,1.6635475262358086,,
LRRC40,55631,1.1807019689423517,,
LRRC75A,388341,1.534474980798359,,
LRRCC1,85444,1.2002637668180611,,
LRRN2,10446,1.4690081935387662,,
LUC7L3,51747,1.507629247207603,,
LY6D,8581,1.2795434197774775,,
LYAR,55646,1.4009217665124378,1.381904766,
LYPD2,137797,1.3123082665752903,,
LYPD4,147719,1.46262226836132,,
LYSMD4,145748,1.5533333081495522,,
MAB21L2,10586,1.39186052457759,,
MAB21L4,79919,1.709281163726696,,
MACROD1,28992,1.3433681782545714,,
MAG,4099,1.4584515081386242,,
MAGEA5P,4104,1.4073434500536153,,
MAGEB3,4114,1.142649741571672,,
MAGEB4,4115,1.5829207948103226,,
MAGEC1,9947,1.8564994759494589,,
MAK,4117,1.4250504514951694,,
MAMLD1,10046,1.4394700578906487,,
MAN1A2,10905,2.263966543100093,,
MAP1B,4131,1.1093085071708175,,
MAP2K3,5606,1.2411654405574013,,
MAPK14,1432,1.1541118782193776,,
MAPK8IP2,23542,2.2401408552701243,,
MAPK9,5601,,-0.899060288,
MARCKS,4082,,,2.060799559
MBD3,53615,1.193637529872926,,
MBD5,55777,1.3795209546736793,,
MBLAC2,153364,1.484724478947424,,
MBNL3,55796,1.574113527963294,,
MCCC1,56922,1.1539735256096266,,
MCPH1,79648,2.034247314289392,,
MCTP2,55784,1.684948522585687,,
MDP1,145553,1.3718538852244708,,
MECP2,4204,2.053477692941095,,
MED13L,23389,1.1491617900180633,,
MELTF,4241,1.5127937496718895,,
METTL13,51603,,,-0.964496405
METTL26,84326,1.2196847568033924,,
METTL6,131965,1.2498970618686938,,
MEX3D,399664,1.2214722676116008,,
MFSD2A,84879,1.2699770150082794,,
MGAT1,4245,1.5899873940540308,,
MLANA,2315,1.7557317112986284,,
MLEC,9761,1.199409863743912,,
MLX,6945,1.096678544356687,,
MMAB,326625,1.22084026181216,,
MMD,23531,1.2617749765403246,,
MMP10,4319,1.7670400662700323,,
MMS22L,253714,1.4340167464122144,,
MOGS,7841,1.2219324995370426,,
MPIG6B,80739,1.5004865093123838,,
MPLKIP,136647,1.160128111804366,,
MPV17L2,84769,1.1593200326656317,,
MPZL1,9019,1.4226012100842744,,
MRM1,79922,1.4784955692547888,,
MRNIP,51149,1.543659060890753,,
MRPL10,124995,2.069399661180719,,
MRPL20,55052,1.2600162870081155,,
MRPL21,219927,1.652198733896517,,
