HGNC Symbol,GeneID,siRNA_Average_Zscore,protein_abundance_log2FC_24h,protein_abundance_log2FC_48h
OR6A2,8590,1.2473137064481057,,
OR6C1,390321,1.570297092320475,,
OR7A17,26333,1.594261253762482,,
OR7A5,26659,1.0952836848306895,,
OR8U8,504189,1.125692116373183,,
OSBP,5007,1.3589571261380022,,
OSCAR,126014,1.9095140328820253,,
OTC,5009,2.0448130438726944,,
OTOP1,133060,1.11803007350863,,
PABPN1,8106,2.12809525403326,,
PACS2,23241,,-1.582585897,
PADI6,353238,1.5167586729058251,,
PAK1IP1,55003,1.1194680559010672,,
PAK2,5062,1.5483052094492429,,
PANK1,53354,1.6754009156881529,,
PARP10,84875,,,1.829224207
PARP14,54625,,,2.689508851
PARP9,83666,,0.971403167,2.34950984
PAXX,286257,1.172986758120553,,
PCDH1,5097,1.4352924855842673,,
PCDHA6,56142,1.149410926246345,,
PCDHA9,9752,1.566239365739565,,
PCDHB1,29930,1.1053780541444875,,
PCDHB14,56122,2.1219004400928876,,
PCDHB4,56131,1.73876447426953,,
PCDHGA12,26025,1.8561807624786864,,
PCED1A,64773,1.484992284249821,,
PCSK1N,27344,1.6020435294731676,,
PDAP1,11333,1.623396557963643,,
PDE2A,5138,1.1487511707740483,,
PDE6D,5147,1.6620678007969278,,
PDE9A,5152,2.0752506492955813,,
PDGFRA,5156,1.7663675470969795,,
PDXDC1,23042,,,-2.897919584
PDZK1IP1,10158,1.253764547744944,,
PDZRN4,29951,1.438217468291893,,
PEBP1,5037,1.1583313448540142,,
PEDS1,387521,1.2784505848455343,,
PELO,53918,1.340402048642691,,
PER1,5187,1.4439899140634154,,
PEX16,9409,1.4134888015466929,,
PF4V1,5197,1.0950190601419354,,
PGAM5,192111,1.4323565997498715,,
PGLYRP3,114771,1.2084666951371963,,
PHEX,5251,1.2582861153843876,,
PIANP,196500,2.012026223935502,,
PIGT,51604,1.3109655690684927,,
PIH1D1,55011,1.5623286921576862,,
PIK3C2A,5286,1.469068803146837,,
PIK3C3,5289,1.9774254697219864,,-1.843942443
PIK3R3,8503,1.4249039378217567,,
PIMREG,54478,1.1449800002109218,,
PIP5KL1,138429,1.321291168630633,,
PKD1L2,114780,1.097940507738214,,
PKNOX2,63876,1.1175317876448323,,
PLAAT3,11145,1.109943207225373,,
PLBD1,79887,1.2995090901681912,,
PLBD2,196463,1.2377742929446347,,
PLCXD2,257068,1.3084827615286678,,
PLEK,5341,1.320607251092563,,
PLEKHA8P1,51054,1.6517351803365046,,
PLEKHG7,338809,1.1296113649448598,,
PLK4,10733,1.1415122829176,,
PLOD3,8985,1.4180432361140247,,
PLPBP,11212,1.541800884539575,,
PLPPR2,64748,1.1070807016378892,,
PLS1,5357,1.265899263521939,,
PMCH,5367,1.1407759154832853,,
PML,5371,,,1.80977867
PNMA8B,57469,1.493648439630342,,
PNP,4860,1.9142500572237964,,
PNPLA5,150379,1.1753510680853645,,
POLD4,57804,1.614374330712924,,
POLH,5429,2.0045444355342683,,
POLR2C,5432,1.4913233888255415,,
POLR3D,661,1.1115344837928465,,
POMGNT1,55624,1.5781280899592542,,
POU2AF1,5450,1.8010153835181142,,
PPIF,10105,1.3006465945312111,,
PPM1M,132160,1.236578083317432,,
PPP1R12A,4659,1.2653231613575169,,
PPP1R14A,94274,,1.624327066,
PPP1R27,116729,1.5927634031207696,,
PPP2R2A,5520,1.4019966769534329,,
PPT2,9374,1.2710987307870718,,
PRAMEF10,343071,1.1506428783924654,,
PRDM11,56981,1.8949033603945649,,
PRDM4,11108,1.3472281123399927,,
PRDX6,9588,1.5165545822132929,,
PRG4,10216,1.341840268237453,,
PRKAA1,5562,,,-2.160761917
PRKACA,5566,,2.336694091,
PRKCI,5584,1.2555526377078678,,
PRMT5,10419,1.1022620867819986,,
PROX1,5629,1.5235513566906105,,
PRR14L,253143,1.4057914751346767,,
PRR21,643905,1.957958477955098,,
PRR34,55267,1.1742793694840208,,
PRRG2,5639,1.2627373644954727,,
PRSS55,203074,1.501173110588289,,
PRX,57716,1.1712268881213903,,
PRXL2C,195827,1.1718204929415232,,
PSD4,23550,,0.653926188,0.814482558
PSG11,5680,1.1099031129663774,,
PSG3,5671,2.256097918882338,,
PSMC2,5701,1.4952513051915175,,
PSMD6,9861,2.072300562684078,,
PSMF1,9491,1.3882410363499638,,
PSORS1C1,170679,1.1200934990786957,,
PTCHD4,442213,2.092970098607094,,
PTDSS2,81490,1.3883480751072277,,
PTGDR2,11251,1.1311849638045808,,
PTGFRN,5738,1.3229159241240178,,
PTMS,5763,1.3190674421098212,,
PTPN7,5778,1.552685418010583,,
PTPRD,5789,1.2082760892304445,,
PTPRF,5792,1.3620299677681766,,
PUS7L,83448,1.559349347820367,,
PWP2,5822,1.218332557054434,,
PYDC2,152138,1.375593125352096,,
PYY,5697,1.839205799745622,,
QKI,9444,1.6957200734121334,,
R3HDM4,91300,1.4640111900027042,,
RAB11FIP5,26056,1.1686316783975603,,
RAB40C,57799,1.804377300066964,,
RAB43,339122,,1.346686195,
RAB5B,5869,,-1.361548243,-1.906787897
RAB9A,9367,1.1427952129018393,,
RABEPK,10244,1.2189413972527103,,
RAD54B,25788,1.5713807476123816,,
RALBP1,10928,1.911005938291268,,
RAMP1,10267,1.182200765802448,,
RANBP3,8498,1.0988902252004669,,
RANBP3L,202151,1.2591718574456854,,
RAPGEFL1,51195,1.2341298687417523,,
RASIP1,54922,1.36530582896233,,
RASSF5,83593,1.8705983954342655,,
RASSF7,8045,1.4628249989621298,,
RBM15B,29890,1.258605817673047,,
RBM22,55696,1.1775633048680272,,
RBMY1B,378948,1.1232030522966965,,
RBMY1E,378950,1.2728850761679924,,
RBPMS2,348093,1.4255416097203943,,
RCE1,9986,1.1515412388878628,,
RCL1,10171,1.184638121993264,,
REC114,283677,1.9360432093166209,,
RERG,85004,1.5409084384164378,,
RERGL,79785,1.137422376356832,,
RGCC,28984,,,-1.448225267
RGL1,23179,1.2448155007417954,,
RGL4,266747,1.1120188229996573,,
RGS22,26166,1.3926352398335091,,
RHBDD2,57414,1.1467000691001847,,
RHBDF1,64285,1.1461688331030286,,
RHOBTB2,23221,1.8967984851463575,,
RHOBTB3,22836,1.3159251768972866,,
RHPN2,85415,1.358525603333185,,
RIGI,23586,,3.020813326,4.380299408
RING1,6015,,1.150034561,0.891145679
RINL,126432,1.661204937498049,,
RMDN2,151393,1.432615252627734,,
RNASE11,122651,1.5892171028709912,,
RNASE13,440163,1.3662283569853415,,
RNF126,55658,,,-0.675007177
RNF135,84282,1.4027003478618187,,
RNF213,57674,,,1.577665674
RNF215,200312,1.5347584569467552,,
RNLS,55328,1.1676274243391491,,
RNPS1,10921,1.4592666747420022,,
RPA4,29935,1.2820725714892525,,
RPL13A,23521,1.8960635222968265,,
RPL7A,6130,1.810023097386105,,
RPRML,388394,1.9935791035482064,,
RPS4X,6191,1.1782412856248912,,
RPS6KA1,6195,1.4003483573722892,,
RRAGB,10325,1.645767617011081,,
RRM2,348738,1.6697922585020846,,
RTP2,344892,1.5363815852563187,,
S100A10,6281,1.5664118222747954,,
S100A9,6280,1.36698748361246,,
SAAL1,113174,1.6553448088272376,,
SAFB2,9667,1.2934189923423585,,
SAMD9,54809,,,1.653304209
SAMD9L,219285,,1.172951102,1.858370323
SAR1A,56681,1.7503737010045186,,
SAXO4,220004,2.0552265640592866,,
SBDS,51119,1.300042977217344,,
SCAF11,9169,1.4906239325097426,,
SCAMP2,10066,1.2139207341395886,,
SCFD1,23256,1.3982743514618865,,
SCGB2B2,284402,1.8955021411011432,,
SCOC,60592,1.1096552044961188,,
SCRN2,90507,1.411063966183113,,
SCX,100129885,1.6847082155633564,,
SDR9C7,121214,1.531087210908224,,
SEC22C,9117,1.4555422487642655,,
SEC24B,10427,1.126247237502167,,
SELL,6402,1.6799545974425851,,
SELP,6403,1.3997388443190533,,
SEMA3F,6405,1.534598520052301,,
SEPSECS,51091,1.911336131505538,,
SEPTIN5,5413,1.1598736952251532,,
SEPTIN6,23157,1.275196678224602,,
SERPINA11,256394,1.4824776878018306,,
SERPING1,710,1.9969751269836689,,
SERPINH1,871,,,1.071614534
SETD7,80854,1.0954020152528832,,
SFMBT1,51460,1.3951752852971782,,
SFT2D2,375035,1.110175408422614,,
SFT2D3,84826,2.2550913425612955,,
SFTPC,6440,1.3298110737857929,,
SH2D3C,10044,1.0974808723496363,,
SH3GL1,6455,2.105077707945473,,
SHANK3,85358,1.3885041901019544,,
SHC3,53358,1.6148724765091067,,
SHISA4,149345,1.9406717987619508,,
SIGLEC1,6614,,,2.605906967
SIGLEC8,27181,1.2492338360082322,,
SIM2,6493,1.457969056674532,,
SIMC1,375484,1.499881513726799,,
SIRPA,140885,1.165752937760172,,
SIRT2,22933,1.6439209441559064,,
SKA2,348235,1.4286880462706244,,
SKA3,221150,1.523712951084108,,
SLAMF7,57823,,,1.171972565
SLBP,7884,1.1067078978329377,,
SLC10A6,345274,1.163366238673952,,
SLC22A13,9390,1.2267938392064734,,
SLC25A17,10478,1.4132306312370937,,
SLC25A21,89874,1.2109332959989147,,
SLC2A12,154091,1.2639916480093656,,
SLC2A4RG,56731,1.217186491915447,,
SLC30A1,7779,,-2.114594111,
SLC30A9,10463,1.5376375248800789,,
SLC32A1,140679,1.3283925749620122,,
SLC35B2,347734,1.658906063436821,,
SLC35D2,11046,1.3187812637039469,,
SLC35E3,55508,1.2844799620008036,,
SLC44A1,23446,1.7430591189165967,,
SLC51B,123264,1.1146845209202765,,
SLC5A3,6526,1.2428288205588485,,
SLC7A13,157724,1.1861166117876516,,
SLFN11,91607,1.225621073406538,,
SLURP1,57152,1.4081380492145914,,
SMAD6,4091,1.1381533307783789,,
SMIM13,221710,1.154141600138023,,
SMIM19,114926,1.1125165000516095,,
SMTN,6525,1.222721728425094,,
SNCA,6622,,,-2.165704026
SNRNP27,11017,1.2473693252319675,,
SNRNP35,11066,1.4233601200907426,,
SNURF,8926,1.3083975599855409,,
SNX17,9784,1.5565144732473863,,
SNX20,124460,1.3920389346293414,,
SNX25,83891,1.52155479740922,,
SOD1,6647,1.4453333183490824,,
SOX13,9580,1.2030104710713256,,
SP100,6672,,,1.528571932
SP110,3431,,0.842989962,2.214229617
SPA17,53340,2.145747855053215,,
SPAG11A,653423,1.2317458573858433,,
SPATA31G1,138724,1.576674650285693,,
SPATC1,375686,1.10670526249936,,
SPATC1L,84221,1.2903937694004983,,
SPATS2L,26010,,,0.664048158
SPECC1,92521,1.3390396812907888,,
SPINDOC,144097,1.7549060524094866,,
SPOPL,339745,1.2492456997079175,,
SPRR2B,6701,1.2175116838320932,,
SPRR4,163778,1.245695369731467,,
SRFBP1,153443,1.724642480142264,,
SRRM3,222183,1.2765799922688674,,
SRSF11,9295,1.342903290756077,,
SSPOP,23145,1.3482049096679996,,
ST3GAL3,6487,1.9705222603967825,,
ST6GALNAC4,27090,1.1981020765085146,,
STAT1,6772,,,2.708410504
STAT2,6773,1.837156228099991,,2.441895404
STATH,6779,1.1109662515174297,,
STOM,2040,,,1.878361517
STOX1,219736,1.3061222126954797,,
STOX2,56977,1.2699133613440532,,
STUM,375057,1.16564079316756,,
STX12,23673,1.218370308270937,,
SUMF2,25870,1.5557396366274348,,
SUPT3H,8464,1.5050169458771534,,
SYCP2L,221711,1.6091091539417723,,
SYNC,81493,1.2840233064880655,,
SYNPO2,171024,1.1221135283251278,,
SYT11,23208,1.739297142134734,,
SYT15,83849,1.6139385390549357,,
SZT2,23334,1.1587067095780827,,
TACC3,10460,1.4196082378289183,,
TADA3,10474,1.0986755535973278,,
TAF1D,79101,1.686150214809448,,
TANC1,85461,1.4662052777968773,,
TAOK3,51347,1.2554931138408314,,
TAP1,6890,,,1.254141695
TARP,445347,1.2345082559712497,,
TAS2R16,50833,1.7143241830997789,,
TAS2R9,50835,1.169100232377116,,
TBC1D23,55773,1.30662648335808,,
TBC1D3B,414059,1.3706641846782623,,
TBCCD1,55171,1.457648594565884,,
TBK1,29110,1.6906771283977533,,
TBX20,57057,1.413783442255211,,
TBX21,30009,1.2880244224861088,,
TCL6,27004,1.3511893931321943,,
TCP11L1,55346,1.1903550429646703,,
TDRD7,23424,,,3.050368893
TDRD9,122402,1.1822739763373349,,
TEX264,51368,1.4367583360630705,,
TEX55,152405,2.0125057416707426,,
TFPT,29844,1.3011272822209246,,
THEM6,51337,1.3698968324639789,,
THEMIS,387357,1.287459143558168,,
TIMP4,7079,1.1561486754291566,,
TLCD1,116238,1.1088631661300692,,
TLE5,166,1.2203390918502164,,
TLX1NB,100038246,1.2525023671571538,,
TM9SF1,10548,1.1075749271757458,,
TMCO3,55002,1.5239225690898293,,
TMED4,222068,1.1082319878608966,,
TMEM126B,55863,1.3093660014510942,,
TMEM147,10430,1.2702503249190005,,
TMEM17,200728,1.6054523879058444,,
TMEM183BP,653659,1.1532588270309854,,
TMEM199,147007,1.5801511462507558,,
TMEM201,199953,1.116452928197775,,
TMEM237,65062,1.4402054527232475,,
TMEM266,123591,1.6915999145968112,,
TMEM270,135886,1.2067635918219008,,
TMEM30B,161291,2.092291497355967,,
TMEM33,55161,1.577756484610384,,
TMEM35A,59353,1.455742352005754,,
TMEM39B,55116,1.1362068228739748,,
TMEM44,93109,1.236212593097524,,
TMEM51,55092,1.1386769563943933,,
TMEM64,169200,1.1762855583016028,,
TMEM69,51249,1.8490965242518151,,
TMEM94,9772,1.1344755842870462,,
TMPRSS3,64699,1.4593281095592865,,
TMTC1,83857,1.468799143801025,,
TNKS1BP1,85456,1.3686910270959274,,
TOB1,10140,1.7308138902731918,,
TOMM34,10953,1.3952167312131951,,
TOMM70,9868,1.2824342996560572,,
TRHR,7201,1.1104055269960706,,
TRIM24,8805,1.459981891330671,,
TRIM73,375593,1.515252503591059,,
TRIP11,9321,1.3780491629333214,,
TRIR,79002,1.2056282388697763,,
TRMT112,51504,1.4278543348127863,,
TRNAU1AP,54952,1.2048571751907469,,
TSEN15,116461,1.45894060694912,,
TSGA10IP,254187,1.2005643941426856,,
TSHZ2,128553,1.367125728076563,,
TSKU,25987,1.190369124743746,,
TSPAN10,83882,1.759307206256998,,
TSPAN15,23555,1.303064004830047,,
TSPAN33,340348,1.172037534343718,,
TSPAN5,10098,1.1540612187535872,,
TTC5,91875,2.573084988209562,,
TTI2,80185,1.887892236833662,,
TUBA3D,113457,1.1078205015463545,,
TXNDC12,51060,2.2507929213986797,,
TXNL4B,54957,1.510638730962906,,
TXNRD2,10587,,2.496962686,
UBAP2,55833,1.3007526811565575,,
UBE2J1,51465,1.6593251944646394,,
UBE2L6,9246,,,2.504379703
UBE2O,63893,1.1244959965326835,1.145852987,
UBE2QL1,134111,1.48926460917112,,
UBR4,23352,1.115231155403885,,
UBTD1,80019,1.104849413831035,,
UBXN7,26043,,,-2.721373263
UCHL1,7345,,,-2.812635139
UCHL5,51377,,1.258477297,
UCN,7349,1.43506863324206,,
UGP2,7360,1.3006067697339605,,
ULK3,25989,1.920299186923804,,
UPF3B,65109,1.2584730242670517,,
URI1,8725,1.115899842585807,,
USF3,205717,1.4463047725129257,,
USH1G,124590,1.192067591228898,,
USP44,84101,1.244801630115151,,
UTP14A,10813,1.2753467490361374,,
UTP18,51096,1.6208963300082666,,
VCX2,51480,2.103446905098312,,
VEPH1,79674,1.1419345250051172,,
VIPR1,7433,1.373017766057955,,
VMO1,284013,1.3081825339970723,,
VPS26C,10311,1.203850052122632,,
VPS53,55275,1.1039458202899224,,
VPS54,51542,1.9473141294126,,
VTI1B,10490,1.2082939946170752,,
VWA7,80737,1.2503013264615015,,
WDFY4,57705,1.2157752788450744,,
WDR19,57728,1.813609188800763,,
WDR44,54521,1.508983430000831,,
WFIKKN2,124857,1.2745346971542453,,
WIF1,11197,1.26966396256134,,
WIPF1,7456,1.2339375749229424,,
WNK4,65266,1.4090635136791985,,
WNT16,51384,1.1452016444671584,,
WNT2,7472,1.425206241891576,,
WNT5B,81029,1.5899096381859026,,
XAB2,56949,1.4703770399603175,,
XCR1,2829,1.6672058477974616,,
XRN1,54464,,,1.832641085
YARS1,8565,1.2708828501594107,,
YIPF4,84272,1.4929818027601212,,
YJEFN3,374887,1.451950833576657,,
YPEL2,388403,1.3248203995936931,,
YPEL4,219539,1.8012914984937771,,
YWHAZ,7534,1.1175440380568815,,
ZBED3,84327,1.9615407637917612,,
ZBED4,9889,1.6013515562425849,,
ZBTB3,79842,1.3285865647935724,,
ZBTB8A,653121,1.8031242286920528,,
ZC3H18,124245,1.1371895125142668,,
ZEB2,9839,1.2014698888289232,,
ZFYVE9,9372,1.3843803796037373,,
ZKSCAN3,80317,1.652508946071907,,
ZMYND15,84225,1.3021497505149933,,
ZNF212,7988,2.2356434412932407,,
ZNF226,7769,1.3628889709779726,,
ZNF235,9310,1.199703141352627,,
ZNF354C,30832,1.2228725976478267,,
ZNF490,57474,1.3241013585665953,,
ZNF491,126069,1.116831762631285,,
ZNF510,22869,1.3235270396569927,,
ZNF512,84450,1.4140017766919533,,
ZNF529,57711,1.94912298335191,,
ZNF560,147741,1.371358274338688,,
ZNF565,147929,1.2797543071130313,,
ZNF567,163081,1.6997517908826325,,
ZNF608,57507,1.2228052454263982,,
ZNF704,619279,1.3563304107499907,,
ZNF708,7562,1.527763840486669,,
ZNF830,91603,1.2779538148176264,,
ZNF846,162993,1.681527508532339,,
ZNRF3,84133,1.3630278919480523,,
ZSCAN10,84891,1.4981690936101046,,
ZSCAN16,80345,1.882437997957223,,
ZSCAN9,7746,1.680724548715283,,
ZWILCH,55055,1.4069352061947034,,
