Uniprot ID,Timepoint,log2FC,GeneID,HGNC Symbol
P20592,DV3_48h-Mock_48h,5.787620472,4600,MX2
P20591,DV3_24h-Mock_24h,3.466208244,4599,MX1
P20591,DV3_48h-Mock_48h,6.232267805,4599,MX1
P29966,DV3_48h-Mock_48h,2.060799559,4082,MARCKS
Q07954,DV3_48h-Mock_48h,-1.81193024,4035,LRP1
P06858,DV3_48h-Mock_48h,-2.614530164,4023,LPL
P48200,DV3_48h-Mock_48h,-1.855734379,3658,IREB2
O14879,DV3_24h-Mock_24h,3.494644087,3437,IFIT3
O14879,DV3_48h-Mock_48h,5.69825699,3437,IFIT3
P09914,DV3_24h-Mock_24h,3.970117068,3434,IFIT1
P09914,DV3_48h-Mock_48h,6.283329563,3434,IFIT1
P09913,DV3_24h-Mock_24h,3.884688719,3433,IFIT2
P09913,DV3_48h-Mock_48h,6.643829723,3433,IFIT2
Q9HB58,DV3_24h-Mock_24h,0.842989962,3431,SP110
Q9HB58,DV3_48h-Mock_48h,2.214229617,3431,SP110
P79483,DV3_48h-Mock_48h,1.243831368,3125,HLA-DRB3
P20039,DV3_48h-Mock_48h,0.960305283,3123,HLA-DRB1
P18465,DV3_48h-Mock_48h,2.02347863,3106,HLA-B
P30483,DV3_48h-Mock_48h,1.008569822,3106,HLA-B
P36959,DV3_48h-Mock_48h,1.612729285,2766,GMPR
P32456,DV3_48h-Mock_48h,1.111666448,2634,GBP2
P32455,DV3_48h-Mock_48h,2.687539728,2633,GBP1
P27105,DV3_48h-Mock_48h,1.878361517,2040,STOM
P35221,DV3_48h-Mock_48h,-0.997015091,1495,CTNNA1
Q13231,DV3_48h-Mock_48h,-0.890968127,1118,CHIT1
P16671,DV3_48h-Mock_48h,-1.209982964,948,CD36
P50454,DV3_48h-Mock_48h,1.071614534,871,SERPINH1
P30043,DV3_24h-Mock_24h,1.492405884,645,BLVRB
P35573,DV3_24h-Mock_24h,-1.062767157,178,AGL
P01023,DV3_48h-Mock_48h,-2.371771761,2,A2M
