A - HGNC,B - Gene ID,C - UniProtID,D - Protein abundance 24 hours after infection vs mock control,E - Protein abundance 48 hours after infection vs mock control,"F - siRNA Screen Average Zscore (the higher the score, the stronger the negative effect on viral replication)",G - mRNA expression 24 hours after infection (log2FC_24hpi),H - mRNA expression 48 hours after infection (log2FC_48hpi),I - Dengue viral protein interacting with host protein,J - dengue_MiST_list
SCUBE2,57758,Q9NQ36,,,,,2.22564849,,
SCRN2,90507,Q96FV2,,,1.411063966,,,,
SCOC,60592,Q9UIL1,,,1.109655204,,,,
SCN3A,6328,Q9NY46,,,,3.900109198,7.675118804,,
SCLT1,132320,Q96NL6,,,,,2.062383488,,
SCIMP,388325,Q6UWF3,,,,,2.998681647,,
SCGB2B2,284402,Q4G0G5,,,1.895502141,,,,
SCFD1,23256,Q8WVM8,,,1.398274351,,,DENV2 16681 NS4A,0.6199289165047328
SCD,6319,O00767,,,,,-2.330454681,,
SCART1,619207,,,,,,2.439916843,,
SCAMP2,10066,O15127,,,1.213920734,,,,
SCAMP1-AS1,728769,,,,,3.591078355,,,
SCAF11,9169,Q99590,,,1.490623933,,,,
SBF1,6305,O95248,,,,,-2.139829732,,
SBDS,51119,Q9Y3A5,,,1.300042977,,,,
SAXO4,220004,Q7Z5V6,,,2.055226564,,,,
SAT1,6303,P21673,,,,,2.018326076,,
SAR1A,56681,Q9NR31,,,1.750373701,,,,
SAMSN1,64092,Q9NSI8,,,,,2.109494745,,
SAMD9L,219285,Q8IVG5,1.172951102,1.858370323,,2.920303469,4.517262664,,
SAMD9,54809,Q5K651,,1.653304209,,,5.097999371,,
SAMD4A,23034,Q9UPU9,,,,2.056018972,,,
SAMD11,148398,Q96NU1,,,,,-4.801134221,,
SAFB2,9667,Q14151,,,1.293418992,,,,
SAAL1,113174,Q96ER3,,,1.655344809,,,DENV2 16681 Capsid Anchor,0.6942496304818014
S1PR1,1901,P21453,,,,2.795488067,,,
S100A9,6280,P06702,,,1.366987484,,-2.263715591,,
S100A4,6275,P26447,,,,,-2.178198447,,
S100A10,6281,P60903,,,1.566411822,,,,
RXFP1,59350,Q9HBX9,,,,5.477938147,4.811051188,,
RUNX3,864,Q13761,,,,,2.3785283,,
RUFY4,285180,Q6ZNE9,,,,,2.210328439,,
RUBCNL,80183,Q9H714,,,,,-2.181753125,,
RTP4,64108,Q96DX8,,,,,4.590393751,,
RTP2,344892,Q5QGT7,,,1.536381585,,,,
RTL9,57529,Q8NET4,,,,,4.387507306,,
RSAD2,91543,Q8WXG1,,,,6.689114369,9.149451093,,
RRAGB,10325,Q5VZM2,,,1.645767617,,,,
RPUSD1,113000,Q9UJJ7,,,,,-2.09766017,,
RPSAP9,653162,,,,,,-2.307021165,,
RPSAP54,642641,,,,,,-3.531182179,,
RPS6KA1,6195,Q15418,,,1.400348357,,,,
RPS4X,6191,P62701,,,1.178241286,,,,
RPS2P55,286444,,,,,,-4.771751465,,
RPS26P47,400156,,,,,-5.343940271,,,
RPRML,388394,Q8N4K4,,,1.993579104,,,,
RPL7AP66,388474,,,,,-7.71216927,-2.524500957,,
RPL7A,6130,P62424,,,1.810023097,,,,
RPL23AP42,647099,,,,,,-2.323002205,,
RPL15P3,653232,,,,,7.790947759,7.746835595,,
RPL13A,23521,P40429,,,1.896063522,,,,
RPL13,6137,P26373,,,,,-2.088141636,,
RPA4,29935,Q13156,,,1.282072571,,,,
ROR1,4919,Q01973,,,,,-2.00290432,,
RNU1-3,26869,,,,,,3.809248256,,
RNPS1,10921,Q15287,,,1.459266675,,,,
RNLS,55328,Q5VYX0,,,1.167627424,,,,
RNF43,54894,Q68DV7,,,,,4.430766287,,
RNF215,200312,Q9Y6U7,,,1.534758457,,,,
RNF213-AS1,100294362,,,,,4.731135005,2.747525971,,
RNF213,57674,Q63HN8,,1.577665674,,2.240977259,,,
RNF19B,127544,Q6ZMZ0,,,,,2.582123476,,
RNF152,220441,Q8N8N0,,,,,2.359846146,,
RNF135,84282,Q8IUD6,,,1.402700348,,,,
RNF126,55658,Q9BV68,,-0.675007177,,,,,
RNF125,54941,Q96EQ8,,,,,-2.875654669,,
RND3,390,P61587,,,,,3.331209877,,
RNASE13,440163,Q5GAN3,,,1.366228357,,,,
RNASE11,122651,Q8TAA1,,,1.589217103,,,,
RN7SL4P,6030,,,,,7.21547792,,,
RN7SL3,378707,,,,,-3.119142966,-5.12379576,,
RN7SKP80,106479130,,,,,5.586726913,,,
RMI2,116028,Q96E14,,,,,3.74841586,,
RMDN2,151393,Q96LZ7,,,1.432615253,,,,
RIPK2,8767,O43353,,,,,2.124985127,,
RINL,126432,Q6ZS11,,,1.661204937,,,,
RING1,6015,Q06587,1.150034561,0.891145679,,,,,
RIMS2,9699,Q9UQ26,,,,,3.403039403,,
RIGI,23586,O95786,3.020813326,4.380299408,,4.542907458,4.700066736,,
RHPN2,85415,Q8IUC4,,,1.358525603,,,,
RHOBTB3,22836,O94955,,,1.315925177,,,,
RHOBTB2,23221,Q9BYZ6,,,1.896798485,,,,
RHEBL1,121268,Q8TAI7,,,,,3.089707343,,
RHBDF1,64285,Q96CC6,,,1.146168833,,-2.481160298,,
RHBDD2,57414,Q6NTF9,,,1.146700069,,,,
RGS9,8787,O75916,,,,,6.117057621,,
RGS22,26166,Q8NE09,,,1.39263524,,,,
RGS19,10287,P49795,,,,-3.46569288,,,
RGS18,64407,Q9NS28,,,,,-2.350365681,,
RGS16,6004,O15492,,,,,-2.675565431,,
RGS14,10636,O43566,,,,,-2.211517197,,
RGL4,266747,Q8IZJ4,,,1.112018823,,,,
RGL1,23179,Q9NZL6,,,1.244815501,,2.199537436,,
RGCC,28984,Q9H4X1,,-1.448225267,,,,,
RFLNB,359845,Q8N5W9,,,,,-2.149882131,,
RERGL,79785,Q9H628,,,1.137422376,,,,
RERG,85004,Q96A58,,,1.540908438,,,,
REC114,283677,Q7Z4M0,,,1.936043209,,,,
RCL1,10171,Q9Y2P8,,,1.184638122,,,ZIKVfp Capsid,0.679818162
RCE1,9986,Q9Y256,,,1.151541239,,,,
RBPMS2,348093,Q6ZRY4,,,1.42554161,,,,
RBMY1E,378950,A6NEQ0,,,1.272885076,,,,
RBMY1B,378948,A6NDE4,,,1.123203052,,,,
RBMS2,5939,Q15434,,,,2.268375981,,,
RBM22,55696,Q9NW64,,,1.177563305,,,,
RBM15B,29890,Q8NDT2,,,1.258605818,,,,
RASSF7,8045,Q02833,,,1.462824999,,-2.06135628,,
RASSF5,83593,Q8WWW0,,,1.870598395,,,,
RASIP1,54922,Q5U651,,,1.365305829,,,,
RASAL1,8437,O95294,,,,,-2.307805031,,
RAPGEFL1,51195,Q9UHV5,,,1.234129869,,,,
RAP1GAP,5909,P47736,,,,,-2.178465848,,
RANBP3L,202151,Q86VV4,,,1.259171857,7.063673884,9.733418682,,
RANBP3,8498,Q9H6Z4,,,1.098890225,,,,
RAMP1,10267,O60894,,,1.182200766,,,,
RAMACL,353267,,,,,,6.283978711,,
RALBP1,10928,Q15311,,,1.911005938,,,,
RAI14,26064,Q9P0K7,,,,,-2.035508158,,
RADX,55086,Q6NSI4,,,,,-2.105654827,,
RAD54B,25788,"['Q9Y620', 'O95073']",,,1.571380748,,,,
RAD17P2,9206,,,,,,2.032203123,,
RABGAP1L-IT1,106480742,,,,,3.63447763,4.341430146,,
RABGAP1L-AS1,101928696,,,,,2.437151229,2.745659467,,
RABEPK,10244,Q7Z6M1,,,1.218941397,,,,
RAB9A,9367,P51151,,,1.142795213,,,,
RAB5B,5869,P61020,-1.361548243,-1.906787897,,,,,
RAB43,339122,Q86YS6,1.346686195,,,,,,
RAB40C,57799,Q96S21,,,1.8043773,,,,
RAB3D,9545,O95716,,,,-2.561678762,-2.024029039,,
RAB39B,116442,Q96DA2,,,,,2.060652337,,
RAB39A,54734,Q14964,,,,,3.272293528,,
RAB1AP1,100420571,,,,,3.167019589,4.619818839,,
RAB11FIP5,26056,Q9BXF6,,,1.168631678,,,,
R3HDM4,91300,Q96D70,,,1.46401119,,,,
QKI,9444,Q96PU8,,,1.695720073,,,,
PYY,5697,P10082,,,1.8392058,,,,
PYDC2,152138,Q56P42,,,1.375593125,,,,
PXT1,222659,Q8NFP0,,,,,2.068220522,,
PWP2,5822,Q15269,,,1.218332557,,,,
PUS7L,83448,Q9H0K6,,,1.559349348,,,,
PTPRF,5792,P10586,,,1.362029968,,,,
PTPRD,5789,P23468,,,1.208276089,,,,
PTPN7,5778,P35236,,,1.552685418,,,,
PTPN13,5783,Q12923,,,,,-2.107542067,,
PTOV1,53635,Q86YD1,,,,,-2.106726906,,
PTMS,5763,P20962,,,1.319067442,,,,
PTGS2,5743,P35354,,,,4.043193308,5.473799111,,
PTGFRN,5738,Q9P2B2,,,1.322915924,,,,
PTGES3L-AARSD1,100885850,Q9BTE6,,,,5.224656279,,,
PTGER3,5733,P43115,,,,,5.20664375,,
PTGDR2,11251,Q9Y5Y4,,,1.131184964,,,,
PTDSS2,81490,Q9BVG9,,,1.388348075,,,,
PTCHD4,442213,Q6ZW05,,,2.092970099,,,,
PTCHD1,139411,Q96NR3,,,,,7.719531993,,
PSORS1C1,170679,Q9UIG5,,,1.120093499,,,,
PSMF1,9491,Q92530,,,1.388241036,,,,
PSME2,5721,Q9UL46,,,,,2.290147101,DENV2 16681 NS2A,0.779577152307637
PSMD6,9861,Q15008,,,2.072300563,,,,
PSMC2P1,729674,,,,,,-2.914223154,,
PSMC2,5701,P35998,,,1.495251305,,,,
PSMB9,5698,P28065,,,,2.242619031,2.504072834,,
PSG3,5671,Q16557,,,2.256097919,,,,
PSG11,5680,Q9UQ72,,,1.109903113,,,,
PSD4,23550,Q8NDX1,0.653926188,0.814482558,,,,,
PSAT1,29968,Q9Y617,,,,,-2.299177533,,
PRXL2C,195827,Q7RTV5,,,1.171820493,,,,
PRXL2A,84293,Q9BRX8,,,,,-2.104367706,,
PRX,57716,Q9BXM0,,,1.171226888,,,,
PRSS55,203074,Q6UWB4,,,1.501173111,,,,
PRSS23,11098,O95084,,,,,3.102986075,,
PRRG2,5639,O14669,,,1.262737364,,,,
PRR34,55267,,,,1.174279369,,,,
PRR21,643905,,,,1.957958478,,,,
PRR14L,253143,Q5THK1,,,1.405791475,,,,
PROX1,5629,Q92786,,,1.523551357,,,,
PRNP,5621,"['P04156', 'F7VJQ1']",,,,-4.43818478,,,
PRMT5,10419,O14744,,,1.102262087,,,,
PRLR,5618,P16471,,,,2.848986638,3.446810824,,
PRKCI,5584,P41743,,,1.255552638,,,,
PRKCB,5579,P05771,,,,,-2.082448195,,
PRKACA,5566,P17612,2.336694091,,,,,,
PRKAA1,5562,Q13131,,-2.160761917,,,,,
PRICKLE1,144165,Q96MT3,,,,2.003919592,2.937186738,,
PRG4,10216,Q92954,,,1.341840268,,,,
PRDX6,9588,P30041,,,1.516554582,,,,
PRDX2,7001,P32119,,,,,-2.395531688,,
PRDM8,56978,Q9NQV8,,,,,2.192512003,,
PRDM4,11108,Q9UKN5,,,1.347228112,,,,
PRDM11,56981,Q9NQV5,,,1.89490336,,,,
PRAMEF10,343071,O60809,,,1.150642878,,,,
PRAME,23532,P78395,,,,,5.563697309,,
PRAM1,84106,Q96QH2,,,,,-2.317533214,,
PRAL,109245082,,,,,4.106739691,9.601909938,,
PRADC1,84279,Q9BSG0,,,,,-2.808948081,,
PPT2,9374,Q9UMR5,,,1.271098731,,,,
PPP2R2A,5520,P63151,,,1.401996677,,,ZIKVug NS3,0.667669055
PPP1R27,116729,Q86WC6,,,1.592763403,,,,
PPP1R17,10842,O96001,,,,,-3.958949972,,
PPP1R14A,94274,Q96A00,1.624327066,,,,,,
PPP1R12A,4659,O14974,,,1.265323161,,,,
PPM1M,132160,Q96MI6,,,1.236578083,,,,
PPM1K-DT,105369192,,,,,3.765969579,7.156340564,,
PPM1K,152926,Q8N3J5,,,,3.179653656,3.920554715,,
PPM1J,333926,Q5JR12,,,,,-2.113131877,,
PPIF,10105,P30405,,,1.300646595,,,,
PPA1,5464,Q15181,,,,,2.854237652,,
POU2AF1,5450,Q16633,,,1.801015384,,,,
POMGNT1,55624,Q8WZA1,,,1.57812809,,,,
POLR3D,661,P05423,,,1.111534484,,,,
POLR2C,5432,P19387,,,1.491323389,,,DENV2 16681 NS3,0.6542542904126485
POLH,5429,Q9Y253,,,2.004544436,,,,
POLD4,57804,Q9HCU8,,,1.614374331,,,,
PNPT1,87178,Q8TCS8,,,,2.984526336,3.861456462,,
PNPLA7,375775,Q6ZV29,,,,,-2.251058742,,
PNPLA5,150379,Q7Z6Z6,,,1.175351068,,,,
PNPLA3,80339,Q9NST1,,,,,-3.840301617,,
PNP,4860,P00491,,,1.914250057,,,,
PNMA8B,57469,Q9ULN7,,,1.49364844,,,,
PML,5371,P29590,,1.80977867,,,,,
PMCH,5367,P20382,,,1.140775915,,,,
PMAIP1,5366,Q13794,,,,,4.488983105,,
PLXNA2,5362,O75051,,,,,-2.43098521,,
PLSCR2,57047,Q9NRY7,,,,4.695664949,6.079182113,,
PLSCR1,5359,O15162,,,,3.395658382,4.258726505,,
PLS3,5358,P13797,,,,,4.617455053,,
PLS1,5357,Q14651,,,1.265899264,,-2.106687048,,
PLPPR2,64748,Q96GM1,,,1.107080702,,-2.088948202,,
PLPBP,11212,O94903,,,1.541800885,,,,
PLOD3,8985,O60568,,,1.418043236,,,,
PLK4,10733,O00444,,,1.141512283,,,,
PLK1,5347,P53350,,,,,-2.164217316,,
PLEKHH1,57475,Q9ULM0,,,,,2.028946846,,
PLEKHA8P1,51054,,,,1.65173518,,,,
PLEKHA4,57664,Q9H4M7,,,,5.659858439,6.239419622,,
PLEK,5341,P08567,,,1.320607251,,,,
PLCXD2,257068,Q0VAA5,,,1.308482762,,,,
PLCB4,5332,Q15147,,,,5.02908603,7.894256807,,
PLBD2,196463,Q8NHP8,,,1.237774293,,,,
PLBD1,79887,Q6P4A8,,,1.29950909,,,,
PLAAT4,5920,Q9UL19,,,,,3.607417372,,
PLAAT3,11145,P53816,,,1.109943207,,4.131472542,,
PLAAT2,54979,Q9NWW9,,,,,6.054422663,,
PLA1A,51365,Q53H76,,,,,4.076753956,,
PKNOX2,63876,,,,1.117531788,,,,
PKIA,5569,P61925,,,,,-2.349821749,,
PKD1L2,114780,Q7Z442,,,1.097940508,,,,
PITPNM3,83394,Q9BZ71,,,,-2.441698883,,,
PIP5KL1,138429,Q5T9C9,,,1.321291169,,,,
PIMREG,54478,Q9BSJ6,,,1.14498,,,,
PIK3R3,8503,Q92569,,,1.424903938,,2.823420195,,
PIK3C3,5289,Q8NEB9,,-1.843942443,1.97742547,,,,
PIK3C2A,5286,O00443,,,1.469068803,,,,
PIH1D2,120379,Q8WWB5,,,,,2.714925166,,
PIH1D1,55011,Q9NWS0,,,1.562328692,,,,
PIGT,51604,Q969N2,,,1.310965569,,,DENV2 16681 NS4A,0.6005190895018813
PIGM,93183,Q9H3S5,,,,,4.553544139,,
PIANP,196500,Q8IYJ0,,,2.012026224,,,,
PI4K2B,55300,Q8TCG2,,,,,2.002297122,,
PHKA1,5255,P46020,,,,,-2.228589505,,
PHGDH,26227,O43175,,,,,-2.244540512,,
PHF11,51131,Q9UIL8,,,,,2.235866702,,
PHEX,5251,P78562,,,1.258286115,,,,
PHACTR4,65979,Q8IZ21,,,,,2.02222272,,
PGPEP1,54858,Q9NXJ5,,,,,-2.011715149,,
PGLYRP3,114771,Q96LB9,,,1.208466695,,,,
PGBD5,79605,Q8N414,,,,,-2.399419629,,
PGAP1,80055,Q75T13,,,,3.079725966,2.79556286,,
PGAM5,192111,Q96HS1,,,1.4323566,,,,
PF4V1,5197,P10720,,,1.09501906,,,,
PEX16,9409,Q9Y5Y5,,,1.413488802,,,,
PER1,5187,O15534,,,1.443989914,,,,
PEMT,10400,Q9UBM1,,,,,-2.090908044,,
PELO,53918,Q9BRX2,,,1.340402049,,,,
PEDS1,387521,A5PLL7,,,1.278450585,,,,
PEBP1,5037,P30086,,,1.158331345,,,,
PDZRN4,29951,Q6ZMN7,,,1.438217468,,,,
PDZK1IP1,10158,Q13113,,,1.253764548,,,,
PDXDC1,23042,Q6P996,,-2.897919584,,,,,
PDK4,5166,Q16654,,,,,-2.366928316,,
PDGFRL,5157,Q15198,,,,4.106404032,5.634888339,,
PDGFRA,5156,P16234,,,1.766367547,,,,
PDE9A,5152,O76083,,,2.075250649,,,,
PDE6D,5147,O43924,,,1.662067801,,,,
PDE4B-AS1,101927139,,,,,6.587257008,7.335466066,,
PDE4B,5142,Q07343,,,,2.141435166,4.903709361,,
PDE2A,5138,O00408,,,1.148751171,,,,
PDCD1LG2,80380,Q9BQ51,,,,,2.159011275,,
PDAP1,11333,Q13442,,,1.623396558,,,,
PCSK6,5046,P29122,,,,,-3.466198464,,
PCSK1N,27344,Q9UHG2,,,1.602043529,,,,
PCED1B-AS1,100233209,,,,,,-2.089994607,,
PCED1A,64773,Q9H1Q7,,,1.484992284,,,,
PCDHGA12,26025,O60330,,,1.856180762,,,,
PCDHB4,56131,Q9Y5E5,,,1.738764474,,,,
PCDHB14,56122,Q9Y5E9,,,2.12190044,,,,
PCDHB1,29930,Q9Y5F3,,,1.105378054,,,,
PCDHA9,9752,Q9Y5H5,,,1.566239366,,,,
PCDHA6,56142,Q9UN73,,,1.149410926,,,,
PCDH9,5101,Q9HC56,,,,,2.077927523,,
PCDH1,5097,Q08174,,,1.435292486,,-3.045948429,,
PCBP4,57060,P57723,,,,-3.18293496,,,
PCARE,388939,A6NGG8,,,,,-4.888237275,,
PC,5091,P11498,,,,,-2.954811735,,
PAXX,286257,Q9BUH6,,,1.172986758,,,,
PAX5,5079,Q02548,,,,3.467993562,5.836471122,,
PARP9,83666,Q8IXQ6,0.971403167,2.34950984,,2.713607266,3.685007573,,
PARP15,165631,Q460N3,,,,2.400936859,3.363580765,,
PARP14,54625,Q460N5,,2.689508851,,2.915364883,3.581373649,,
PARP11-AS1,105369609,,,,,,2.365017738,,
PARP10,84875,Q53GL7,,1.829224207,,,,,
PAQR5,54852,Q9NXK6,,,,,-3.03582561,,
PAQR4,124222,Q8N4S7,,,,-4.798066654,,ZIKVug NS4A,0.790488199
PANK1,53354,Q8TE04,,,1.675400916,,,,
PAK2,5062,Q13177,,,1.548305209,,,,
PAK1IP1,55003,Q9NWT1,,,1.119468056,,,DENV2 16681 NS5,0.657301746404083
PAGR1,79447,Q9BTK6,,,,,-2.500613706,,
PADI6,353238,Q6TGC4,,,1.516758673,,,,
PACS2,23241,Q86VP3,-1.582585897,,,,,,
PABPN1,8106,Q86U42,,,2.128095254,,,,
PABIR3,159091,Q6P4D5,,,,,2.48762753,,
P3H2,55214,Q8IVL5,,,,,5.929485513,,
P2RY6,5031,Q15077,,,,2.626992819,,,
OVGP1,5016,Q12889,,,,-2.286492401,,,
OTOP1,133060,Q7RTM1,,,1.118030074,,,,
OTOF,9381,Q9HC10,,,,4.359145326,5.586883983,,
OTC,5009,P00480,,,2.044813044,,,,
OSR2,116039,Q8N2R0,,,,5.188367621,6.565921098,,
OSM,5008,P13725,,,,,2.498166918,,
OSCAR,126014,Q8IYS5,,,1.909514033,,,,
OSBP,5007,P22059,,,1.358957126,,,,
OR8U8,504189,,,,1.125692116,,,,
OR7A5,26659,Q15622,,,1.095283685,,,,
OR7A17,26333,O14581,,,1.594261254,,,,
OR6C1,390321,Q96RD1,,,1.570297092,,,,
OR6A2,8590,O95222,,,1.247313706,,,,
OR5L1,219437,Q8NGL2,,,1.200485145,,,,
OR52K2,119774,Q8NGK3,,,1.162804461,,,,
OR52I2,143502,Q8NH67,,,1.517407927,,,,
OR52B6,340980,Q8NGF0,,,1.142218718,,,,
OR52B4,143496,Q8NGK2,,,1.13497082,,,,
OR52B2,255725,Q96RD2,,,1.418186935,,,,
OR51A7,119687,Q8NH64,,,1.59741944,,,,
OR51A4,401666,Q8NGJ6,,,1.719636965,,,,
OR4P4,81300,Q8NGL7,,,1.542695573,,,,
OR4K2,390431,Q8NGD2,,,1.140307986,,,,
OR4K15,81127,Q8NH41,,,1.157115281,,,,
OR4D2,124538,P58180,,,1.266320748,,,,
OR2W1,26692,Q9Y3N9,,,1.411836406,,,,
OR2T12,127064,Q8NG77,,,1.224566154,,,,
OR2T11,127077,Q8NH01,,,1.556405533,,,,
OR2S2,56656,Q9NQN1,,,1.126858035,,,,
OR2D3,120775,Q8NGH3,,,1.153367036,,,,
OR1L1,26737,Q8NH94,,,1.193813644,,,,
OR1K1,392392,Q8NGR3,,,1.384146045,,,,
OR1D5,8386,P58170,,,1.553942934,,,,
OR12D3,81797,Q9UGF7,,,1.20495826,,,,
OR10K2,391107,Q6IF99,,,1.599604577,,,,
OR10A7,121364,Q8NGE5,,,1.488206687,,,,
OPTC,26254,Q9UBM4,,,1.404588523,,,,
OPRL1,4987,P41146,,,,,-2.555546524,,
OPLAH,26873,O14841,,,,,-3.299833312,,
OPCML,4978,Q14982,,,1.47539076,,,,
OLR1,4973,P78380,,,1.165506788,,,,
OLFML3,56944,Q9NRN5,,,,,2.287976074,,
OLFML2A,169611,Q68BL7,,,1.991335296,,,,
OFD1,8481,O75665,,,1.104448029,,,ZIKVug NS3,0.77506479
ODF2L,57489,Q9ULJ1,,,1.102699605,,,,
ODF2,4957,Q5BJF6,,,1.167219908,,,,
OBSCN,84033,Q5VST9,,,,,-2.656989275,,
OBP2A,29991,Q9NY56,,,1.486852628,,,,
OBI1,79596,Q5W0B1,,,1.225352665,,,DENV2 16681 NS3,0.6603006360420334
OASL,8638,Q15646,,2.916732074,,5.3621638,7.629658174,,
OAS3,4940,Q9Y6K5,,3.175544218,,2.954096888,3.525594648,,
OAS2,4939,P29728,,3.580865407,,3.509159777,4.783685157,,
OAS1,4938,P00973,2.309110681,2.327680098,,2.216717455,2.150507039,,
NXF3,56000,Q9H4D5,,,,,-2.131319381,,
NUS1P1,729148,,,,,6.798750261,,,
NUPR1,26471,O60356,,,1.125514672,,,,
NUP62CL,54830,Q9H1M0,,,1.100385392,,,,
NUP210L,91181,Q5VU65,,,1.379126334,,,,
NUP210,23225,Q8TEM1,,,,,-2.168942785,DENV2 16681 NS4B,0.7226701136886647
NUDT18,79873,Q6ZVK8,,,1.720411079,,,,
NUDT16L1,84309,Q9BRJ7,,,,,-2.704193843,,
NUDCD2,134492,Q8WVJ2,,,1.104116414,,,,
NUB1,51667,Q9Y5A7,,4.458123748,,,3.035419357,,
NTM,50863,Q9P121,,,1.230070572,,,,
NT5DC2,64943,Q9H857,,,,,-2.835869082,,
NT5C3AP1,90859,,,,,3.217212931,6.29600437,,
NT5C3A,51251,Q9H0P0,2.031440785,,,4.397701095,5.469384862,"ZIKVfp NS4A,ZIKVug NS4A","0.914155609,0.891848745"
NRN1L,123904,Q496H8,,,1.126154432,,,,
NRIR,104326052,,,,,3.430358921,6.468597074,,
NRIP1,8204,P48552,,,,,2.992187607,,
NRGN,4900,Q92686,,,,,-4.819612758,,
NRF1,4899,Q16656,,,1.522274992,,,,
NPPA,4878,P01160,,,1.739956833,,,,
NPM1P27,100422243,,,,,,-2.330787461,,
NPIPA1,9284,Q9UND3,,,1.521806283,,,,
NPC2,10577,P61916,,,1.565179302,,,,
NPAS3,64067,Q8IXF0,,,1.564615881,,,,
NOTCH2NLA,388677,Q7Z3S9,,,1.137208384,,,,
NORAD,647979,,,,,9.947374479,,,
NOD2,64127,Q9HC29,,,,,2.287088759,,
NMI,9111,Q13287,,,,2.39692261,3.144371049,,
NME9,347736,Q86XW9,,,1.208371249,,,,
NMBR,4829,P28336,,,1.374303434,,,,
NLRP3,114548,Q96P20,,,1.265578166,,,,
NLRP12,91662,P59046,,,,,-3.565044177,,
NLRP1,22861,Q9C000,,,1.131489349,,,,
NKD1,85407,Q969G9,,,,2.505231462,,,
NIPSNAP3B,55335,Q9BS92,,,1.228964696,,,,
NINL,22981,Q9Y2I6,,,,,-2.007797399,,
NGRN,51335,Q9NPE2,,,,-2.075990962,,,
NGDN,25983,Q8NEJ9,,,1.547455954,,,,
NFRKB,4798,Q6P4R8,,,1.206449875,,,,
NFKBIZ,64332,Q9BYH8,,,,2.450053152,4.078398855,,
NFKBIA,4792,P25963,,,,,2.201404016,,
NFKB1,4790,P19838,,,,,2.155972928,,
NFE2L3,9603,Q9Y4A8,,,,,2.379258106,,
NFATC2,4773,Q13469,,,,-2.440197177,,,
NFASC,23114,O94856,,,1.145558336,,,,
NEXN,91624,Q0ZGT2,,,1.33370646,2.764890114,4.214092339,,
NEUROG3,50674,Q9Y4Z2,,,1.26911496,,,,
NEUROD2,4761,Q15784,,,1.252164576,,,,
NEURL4,84461,Q96JN8,,,1.47984447,,,,
NEURL3,93082,Q96EH8,,,,3.716256818,4.890162048,,
NES,10763,P48681,,,,,-2.972837691,,
NEO1,4756,Q92859,,,1.184115682,,,,
NEMP1,23306,O14524,,,,,2.152090852,,
NELFCD,51497,Q8IXH7,,,1.291864746,,,,
NEDD9,4739,Q14511,,,1.768335081,,,,
NEDD1,121441,Q8NHV4,,,1.152650948,,,,
NECTIN3,25945,Q9NQS3,,,,3.285398661,4.438681082,,
NDUFAF6,137682,Q330K2,,,1.89899542,,,,
NDEL1,81565,Q9GZM8,,,1.341732813,,,,
NDC80,10403,O14777,,,,4.236269273,2.721007277,,
NCS1,23413,P62166,,,,,-2.619494791,,
NCOA1,8648,Q15788,,,1.350099543,,,,
NCF1C,654817,,,,,2.046302234,3.173937708,,
NCF1B,654816,,,,,2.043358543,3.298083571,,
NCF1,653361,P14598,,,,2.307107124,3.265272995,,
NCAPH,23397,Q15003,,,,,-3.437747556,,
NCAPG2,54892,Q86XI2,,,1.68185347,,,,
NBN,4683,O60934,,,,,2.539712266,,
NBL1,4681,P41271,,,1.241344031,,,,
NBEAL2,23218,Q6ZNJ1,-1.278896145,,,,,,
NAT8,9027,Q9UHE5,,,1.243954014,4.211057643,5.940362742,,
NAPSB,256236,,,,,,2.49076009,,
NAPB,63908,Q9H115,,,1.158382537,,,,
NAP1L1,4673,P55209,,,1.969758919,,,DENV2 16681 Capsid Anchor,0.6262607631135166
NAMPTP1,646309,,,,,,3.34214127,,
NAMPT,10135,P43490,,,,,2.356225153,,
NAGPA,51172,Q9UK23,,,1.459834022,,,,
NAE1,8883,Q13564,,,1.303119139,,,,
NACA2,342538,Q9H009,,,1.31107465,,,,
NAA80,24142,Q93015,,,1.124970611,,,,
N4BP2L1,90634,Q5TBK1,,,,,2.104926843,,
MYORG,57462,Q6NSJ0,,,1.249071214,,,,
MYOF,26509,Q9NZM1,,,1.194524498,,,,
MYO5A,4644,Q9Y4I1,,,2.055439953,,,,
MYO1A,4640,Q9UBC5,,,,2.670743343,5.431294813,,
MYL9,10398,P24844,,,,,-2.516867384,,
MYL3,4634,P08590,,,1.193717302,,,,
MYH4,4622,Q9Y623,,,1.397532399,,,,
MYH1,4619,P12882,,,1.960223472,,,,
MYDGF,56005,Q969H8,,,1.490198189,,,,
MYC,4609,P01106,,,,,-2.104906602,,
MXD1,4084,Q05195,,,,,2.004847473,,
MX2,4600,P20592,3.68336919,5.787620472,,4.086731871,4.760283321,,
MX1,4599,P20591,3.466208244,6.232267805,,4.778496836,6.345792059,,
MVP,9961,Q14764,,,1.287956331,,,,
MVB12B,89853,Q9H7P6,,,,,2.226161005,,
MUC4,4585,Q99102,,,1.778814273,,,,
MTRF1,9617,O75570,,,1.942329276,,,,
MTND6P5,106480427,,,,,5.9410883,4.528254095,,
MTND5P28,100505755,,,,,3.181829888,2.845457039,,
MTG1,92170,Q9BT17,,,1.284663147,,,,
MTFMT,123263,Q96DP5,,,1.393387586,,,,
MTDH,92140,Q86UE4,,,1.196023018,,,DENV2 16681 Capsid,0.7775663013062316
MTCO1P4,106480684,,,,,,5.417771401,,
