Gene Symbol
APOL2
B4GALT5
BST2
TMEM268
CLEC4D
CNP
DNAJC6
ELF1
ERLIN1
ETV6
TENT5A
TENT5C
FZD5
GNB4
HSPA8
IFIT3
IFIT5
IFITM2
IFITM3
ISG15
ISG20
LOC152225
LY6E
MSR1
NRN1
NT5C3A
JADE2
RAB27A
REC8
RGS22
SPATA13
SPATS2L
STAT1
TAGAP
TRIM21
UBD
ZBP1
